Item	Subject	Block	Stimuli	Context	Correct	Response	RT	RT_log	Lg_Heard	Main_Context	Group
A71	BE_03	Block1	Stim25	S	1	ML	641	2.80685803	Sp	ML	nonsw
A72	BE_06	Block1	Stim25	S	1	ML	997	2.998695158	Sp	ML	supsw
A73	BE_03	Block1	Stim31	S	1	ML	3230	3.509202522	Sp	ML	nonsw
A74	BE_06	Block1	Stim31	S	1	ML	8458	3.927267681	Sp	ML	supsw
A75	BE_03	Block1	Stim07	S	1	ML	490	2.69019608	Sp	ML	nonsw
A76	BE_06	Block1	Stim07	S	1	ML	877	2.942999593	Sp	ML	supsw
A77	BE_03	Block1	Stim08	S	1	ML	457	2.6599162	Sp	ML	nonsw
A78	BE_06	Block1	Stim08	S	1	ML	1654	3.218535505	Sp	ML	supsw
A79	BE_03	Block1	Stim09	S	1	ML	1421	3.152594078	Sp	ML	nonsw
A80	BE_06	Block1	Stim09	S	1	ML	3460	3.539076099	Sp	ML	supsw
A81	BE_03	Block2	Stim01	CSES	0	ML	340	2.531478917	Eng	CS	nonsw
A82	BE_06	Block2	Stim02	CSES	1	CS	932	2.969415912	Eng	CS	supsw
A83	BE_03	Block2	Stim17	CSES	0	ML	807	2.906873535	Eng	CS	nonsw
A84	BE_06	Block2	Stim21	CSES	1	CS	1924	3.284205068	Eng	CS	supsw
A85	BE_03	Block2	Stim02	CSES	0	ML	277	2.442479769	Eng	CS	nonsw
A86	BE_06	Block2	Stim27	CSES	1	CS	2227	3.347720217	Eng	CS	supsw
A87	BE_03	Block2	Stim21	CSES	0	ML	306	2.485721426	Eng	CS	nonsw
A88	BE_06	Block2	Stim28	CSES	1	CS	563	2.750508395	Eng	CS	supsw
A89	BE_03	Block2	Stim26	CSES	0	ML	278	2.444044796	Eng	CS	nonsw
A90	BE_06	Block2	Stim29	CSES	1	CS	449	2.652246341	Eng	CS	supsw
A91	BE_03	Block2	Stim27	CSES	1	CS	1858	3.26904571	Eng	CS	nonsw
A92	BE_06	Block2	Stim03	CSES	1	CS	1044	3.018700499	Eng	CS	supsw
A93	BE_03	Block2	Stim28	CSES	1	CS	1442	3.15896526	Eng	CS	nonsw
A94	BE_06	Block2	Stim01	CSES	0	ML	1060	3.025305865	Eng	CS	supsw
A95	BE_03	Block2	Stim29	CSES	1	CS	990	2.995635195	Eng	CS	nonsw
A96	BE_06	Block2	Stim17	CSES	0	ML	795	2.900367129	Eng	CS	supsw
A97	BE_03	Block2	Stim03	CSES	0	ML	879	2.943988875	Eng	CS	nonsw
A98	BE_06	Block2	Stim26	CSES	0	ML	619	2.791690649	Eng	CS	supsw
A99	BE_03	Block2	Stim32	CSES	1	CS	3715	3.569958818	Eng	CS	nonsw
A100	BE_06	Block2	Stim32	CSES	0	ML	1233	3.090963077	Eng	CS	supsw
A101	BE_03	Block2	Stim13	CSSE	0	ML	1670	3.222716471	Sp	CS	nonsw
A102	BE_06	Block2	Stim18	CSSE	1	CS	434	2.63748973	Sp	CS	supsw
A103	BE_03	Block2	Stim18	CSSE	0	ML	1718	3.235023159	Sp	CS	nonsw
A104	BE_06	Block2	Stim23	CSSE	1	CS	3257	3.512817759	Sp	CS	supsw
A105	BE_03	Block2	Stim22	CSSE	0	ML	941	2.973589623	Sp	CS	nonsw
A106	BE_06	Block2	Stim24	CSSE	1	CS	840	2.924279286	Sp	CS	supsw
A107	BE_03	Block2	Stim23	CSSE	0	ML	302	2.480006943	Sp	CS	nonsw
A108	BE_06	Block2	Stim30	CSSE	1	CS	791	2.898176483	Sp	CS	supsw
A109	BE_03	Block2	Stim24	CSSE	0	ML	784	2.894316063	Sp	CS	nonsw
A110	BE_06	Block2	Stim36	CSSE	1	CS	569	2.755112266	Sp	CS	supsw
A111	BE_03	Block2	Stim30	CSSE	0	ML	1746	3.242044239	Sp	CS	nonsw
A112	BE_06	Block2	Stim04	CSSE	1	CS	1216	3.084933575	Sp	CS	supsw
A113	BE_03	Block2	Stim36	CSSE	0	ML	1003	3.001300933	Sp	CS	nonsw
A114	BE_06	Block2	Stim06	CSSE	1	CS	1874	3.272769587	Sp	CS	supsw
A115	BE_03	Block2	Stim04	CSSE	1	CS	1407	3.148294097	Sp	CS	nonsw
A116	BE_06	Block2	Stim13	CSSE	0	ML	1291	3.110926242	Sp	CS	supsw
A117	BE_03	Block2	Stim05	CSSE	0	ML	406	2.608526034	Sp	CS	nonsw
A118	BE_06	Block2	Stim22	CSSE	0	ML	1163	3.065579715	Sp	CS	supsw
A119	BE_03	Block2	Stim06	CSSE	0	ML	364	2.561101384	Sp	CS	nonsw
A120	BE_06	Block2	Stim05	CSSE	0	ML	545	2.736396502	Sp	CS	supsw
A121	BE_03	Block2	Stim14	E	1	ML	995	2.997823081	Eng	ML	nonsw
A122	BE_06	Block2	Stim15	E	0	CS	3964	3.598133646	Eng	ML	supsw
A123	BE_03	Block2	Stim15	E	1	ML	563	2.750508395	Eng	ML	nonsw
A124	BE_06	Block2	Stim16	E	0	CS	2064	3.314709693	Eng	ML	supsw
A125	BE_03	Block2	Stim16	E	1	ML	527	2.721810615	Eng	ML	nonsw
A126	BE_06	Block2	Stim34	E	0	CS	1182	3.072617477	Eng	ML	supsw
A127	BE_03	Block2	Stim33	E	0	CS	388	2.588831726	Eng	ML	nonsw
A128	BE_06	Block2	Stim37	E	0	CS	1483	3.171141151	Eng	ML	supsw
A129	BE_03	Block2	Stim34	E	1	ML	412	2.614897216	Eng	ML	nonsw
A130	BE_06	Block2	Stim40	E	0	CS	929	2.968015714	Eng	ML	supsw
A131	BE_03	Block2	Stim35	E	1	ML	1253	3.097951071	Eng	ML	nonsw
A132	BE_06	Block2	Stim14	E	1	ML	545	2.736396502	Eng	ML	supsw
A133	BE_03	Block2	Stim37	E	1	ML	754	2.877371346	Eng	ML	nonsw
A134	BE_06	Block2	Stim33	E	1	ML	1504	3.177247836	Eng	ML	supsw
A135	BE_03	Block2	Stim38	E	1	ML	1037	3.015778756	Eng	ML	nonsw
A136	BE_06	Block2	Stim35	E	1	ML	1074	3.031004281	Eng	ML	supsw
A137	BE_03	Block2	Stim39	E	1	ML	953	2.979092901	Eng	ML	nonsw
A138	BE_06	Block2	Stim38	E	1	ML	673	2.828015064	Eng	ML	supsw
A139	BE_03	Block2	Stim40	E	1	ML	618	2.790988475	Eng	ML	nonsw
A140	BE_06	Block2	Stim39	E	1	ML	1069	3.028977705	Eng	ML	supsw
A141	BE_03	Block2	Stim10	S	1	ML	3335	3.523095838	Sp	ML	nonsw
A142	BE_06	Block2	Stim11	S	0	CS	304	2.482873584	Sp	ML	supsw
A143	BE_03	Block2	Stim11	S	1	ML	337	2.527629901	Sp	ML	nonsw
A144	BE_06	Block2	Stim12	S	0	CS	3318	3.520876382	Sp	ML	supsw
A145	BE_03	Block2	Stim12	S	1	ML	429	2.632457292	Sp	ML	nonsw
A146	BE_06	Block2	Stim19	S	0	CS	1732	3.238547888	Sp	ML	supsw
A147	BE_03	Block2	Stim19	S	1	ML	429	2.632457292	Sp	ML	nonsw
A148	BE_06	Block2	Stim31	S	0	CS	1264	3.101747074	Sp	ML	supsw
A149	BE_03	Block2	Stim20	S	1	ML	416	2.619093331	Sp	ML	nonsw
A150	BE_06	Block2	Stim07	S	0	CS	1739	3.240299582	Sp	ML	supsw
A151	BE_03	Block2	Stim25	S	1	ML	438	2.641474111	Sp	ML	nonsw
A152	BE_06	Block2	Stim09	S	0	CS	2037	3.308991029	Sp	ML	supsw
A153	BE_03	Block2	Stim31	S	1	ML	563	2.750508395	Sp	ML	nonsw
A154	BE_06	Block2	Stim10	S	1	ML	1013	3.005609445	Sp	ML	supsw
A155	BE_03	Block2	Stim07	S	1	ML	870	2.939519253	Sp	ML	nonsw
A156	BE_06	Block2	Stim20	S	1	ML	1451	3.161667412	Sp	ML	supsw
A157	BE_03	Block2	Stim08	S	1	ML	2012	3.303627976	Sp	ML	nonsw
A158	BE_06	Block2	Stim25	S	1	ML	789	2.897077003	Sp	ML	supsw
A159	BE_03	Block2	Stim09	S	1	ML	288	2.459392488	Sp	ML	nonsw
A160	BE_06	Block2	Stim08	S	1	ML	874	2.941511433	Sp	ML	supsw
A161	BE_03	Block3	Stim01	CSES	0	ML	273	2.436162647	Eng	CS	nonsw
A162	BE_06	Block3	Stim27	CSES	1	CS	359	2.555094449	Eng	CS	supsw
A163	BE_03	Block3	Stim17	CSES	0	ML	1385	3.141449773	Eng	CS	nonsw
A164	BE_06	Block3	Stim28	CSES	1	CS	497	2.696356389	Eng	CS	supsw
A165	BE_03	Block3	Stim02	CSES	0	ML	2445	3.388278863	Eng	CS	nonsw
A166	BE_06	Block3	Stim29	CSES	1	CS	230	2.361727836	Eng	CS	supsw
A167	BE_03	Block3	Stim21	CSES	0	ML	1856	3.268577972	Eng	CS	nonsw
A168	BE_06	Block3	Stim03	CSES	1	CS	307	2.487138375	Eng	CS	supsw
A169	BE_03	Block3	Stim26	CSES	0	ML	347	2.540329475	Eng	CS	nonsw
A170	BE_06	Block3	Stim32	CSES	1	CS	1088	3.036628895	Eng	CS	supsw
A171	BE_03	Block3	Stim27	CSES	1	CS	1624	3.210586025	Eng	CS	nonsw
A172	BE_06	Block3	Stim01	CSES	0	ML	390	2.591064607	Eng	CS	supsw
A173	BE_03	Block3	Stim28	CSES	1	CS	808	2.907411361	Eng	CS	nonsw
A174	BE_06	Block3	Stim17	CSES	0	ML	326	2.5132176	Eng	CS	supsw
A175	BE_03	Block3	Stim29	CSES	1	CS	1152	3.061452479	Eng	CS	nonsw
A176	BE_06	Block3	Stim02	CSES	0	ML	768	2.88536122	Eng	CS	supsw
A177	BE_03	Block3	Stim03	CSES	0	ML	300	2.477121255	Eng	CS	nonsw
A178	BE_06	Block3	Stim21	CSES	0	ML	787	2.895974732	Eng	CS	supsw
A179	BE_03	Block3	Stim32	CSES	0	ML	938	2.972202838	Eng	CS	nonsw
A180	BE_06	Block3	Stim26	CSES	0	ML	3388	3.529943402	Eng	CS	supsw
A181	BE_03	Block3	Stim13	CSSE	0	ML	1231	3.090258053	Sp	CS	nonsw
