Item	Subject	Block	Stimuli	Context	Correct	Response	RT	RT_log	Lg_Heard	Main_Context	Group
A3743	BE_53	Block1	Stim14	E	1	ML	893	2.950851459	Eng	ML	supsw
A3744	BE_17	Block1	Stim15	E	1	ML	1483	3.171141151	Eng	ML	nonsw
A3745	BE_39	Block1	Stim39	E	0	CS	5585	3.747023177	Eng	ML	sw
A3746	BE_53	Block1	Stim15	E	1	ML	938	2.972202838	Eng	ML	supsw
A3747	BE_17	Block1	Stim16	E	1	ML	875	2.942008053	Eng	ML	nonsw
A3748	BE_39	Block1	Stim14	E	1	ML	3330	3.522444234	Eng	ML	sw
A3749	BE_53	Block1	Stim16	E	1	ML	1296	3.112605002	Eng	ML	supsw
A3750	BE_17	Block1	Stim33	E	1	ML	760	2.880813592	Eng	ML	nonsw
A3751	BE_39	Block1	Stim15	E	1	ML	2868	3.457579147	Eng	ML	sw
A3752	BE_53	Block1	Stim33	E	1	ML	1931	3.285782274	Eng	ML	supsw
A3753	BE_17	Block1	Stim34	E	0	CS	2180	3.338456494	Eng	ML	nonsw
A3754	BE_39	Block1	Stim16	E	1	ML	2887	3.460446784	Eng	ML	sw
A3755	BE_53	Block1	Stim34	E	1	ML	2734	3.43679851	Eng	ML	supsw
A3756	BE_17	Block1	Stim35	E	0	CS	1199	3.078819183	Eng	ML	nonsw
A3757	BE_39	Block1	Stim33	E	1	ML	3733	3.57205799	Eng	ML	sw
A3758	BE_53	Block1	Stim35	E	1	ML	2335	3.368286885	Eng	ML	supsw
A3759	BE_17	Block1	Stim37	E	1	ML	1172	3.068927612	Eng	ML	nonsw
A3760	BE_39	Block1	Stim35	E	1	ML	1712	3.23350376	Eng	ML	sw
A3761	BE_53	Block1	Stim37	E	1	ML	1949	3.289811839	Eng	ML	supsw
A3762	BE_17	Block1	Stim38	E	0	CS	3669	3.564547712	Eng	ML	nonsw
A3763	BE_39	Block1	Stim37	E	1	ML	4731	3.674952948	Eng	ML	sw
A3764	BE_53	Block1	Stim39	E	1	ML	1232	3.090610708	Eng	ML	supsw
A3765	BE_17	Block1	Stim39	E	1	ML	1591	3.20167018	Eng	ML	nonsw
A3766	BE_39	Block1	Stim38	E	1	ML	3445	3.537189226	Eng	ML	sw
A3767	BE_53	Block1	Stim40	E	1	ML	1703	3.231214648	Eng	ML	supsw
A3768	BE_17	Block1	Stim40	E	1	ML	1182	3.072617477	Eng	ML	nonsw
A3769	BE_39	Block1	Stim40	E	1	ML	3845	3.584896344	Eng	ML	sw
A3770	BE_53	Block1	Stim38	E	0	CS	2806	3.448087667	Eng	ML	supsw
A3771	BE_17	Block1	Stim10	S	1	ML	1537	3.186673867	Sp	ML	nonsw
A3772	BE_39	Block1	Stim19	S	0	CS	7310	3.863917377	Sp	ML	sw
A3773	BE_53	Block1	Stim11	S	1	ML	1649	3.217220656	Sp	ML	supsw
A3774	BE_17	Block1	Stim11	S	1	ML	645	2.809559715	Sp	ML	nonsw
A3775	BE_39	Block1	Stim31	S	0	CS	2070	3.315970345	Sp	ML	sw
A3776	BE_53	Block1	Stim12	S	1	ML	1543	3.188365926	Sp	ML	supsw
A3777	BE_17	Block1	Stim12	S	1	ML	1223	3.087426457	Sp	ML	nonsw
A3778	BE_39	Block1	Stim08	S	0	CS	2724	3.435207103	Sp	ML	sw
A3779	BE_53	Block1	Stim19	S	1	ML	907	2.957607287	Sp	ML	supsw
A3780	BE_17	Block1	Stim19	S	1	ML	1680	3.225309282	Sp	ML	nonsw
A3781	BE_39	Block1	Stim10	S	1	ML	1313	3.118264726	Sp	ML	sw
A3782	BE_53	Block1	Stim20	S	1	ML	818	2.912753304	Sp	ML	supsw
A3783	BE_17	Block1	Stim20	S	0	CS	1547	3.189490314	Sp	ML	nonsw
A3784	BE_39	Block1	Stim11	S	1	ML	2798	3.44684771	Sp	ML	sw
A3785	BE_53	Block1	Stim25	S	1	ML	1200	3.079181246	Sp	ML	supsw
A3786	BE_17	Block1	Stim25	S	1	ML	7191	3.856789289	Sp	ML	nonsw
A3787	BE_39	Block1	Stim12	S	1	ML	2927	3.466422722	Sp	ML	sw
A3788	BE_53	Block1	Stim31	S	1	ML	1614	3.20790353	Sp	ML	supsw
A3789	BE_17	Block1	Stim31	S	1	ML	1505	3.1775365	Sp	ML	nonsw
A3790	BE_39	Block1	Stim20	S	1	ML	2090	3.320146286	Sp	ML	sw
A3791	BE_53	Block1	Stim07	S	1	ML	2825	3.451018452	Sp	ML	supsw
A3792	BE_17	Block1	Stim07	S	1	ML	1691	3.228143608	Sp	ML	nonsw
A3793	BE_39	Block1	Stim25	S	1	ML	1817	3.259354927	Sp	ML	sw
A3794	BE_53	Block1	Stim08	S	1	ML	1664	3.221153322	Sp	ML	supsw
A3795	BE_17	Block1	Stim08	S	0	CS	6222	3.793930007	Sp	ML	nonsw
A3796	BE_39	Block1	Stim07	S	1	ML	3337	3.523356207	Sp	ML	sw
A3797	BE_53	Block1	Stim09	S	1	ML	1341	3.127428778	Sp	ML	supsw
A3798	BE_17	Block1	Stim09	S	1	ML	1062	3.026124517	Sp	ML	nonsw
A3799	BE_39	Block1	Stim09	S	1	ML	3829	3.583085366	Sp	ML	sw
A3800	BE_53	Block1	Stim10	S	0	CS	2513	3.400192489	Sp	ML	supsw
A3801	BE_17	Block2	Stim01	CSES	0	ML	880	2.944482672	Eng	CS	nonsw
A3802	BE_39	Block2	Stim01	CSES	1	CS	10544	4.023005397	Eng	CS	sw
A3803	BE_53	Block2	Stim26	CSES	1	CS	1228	3.089198367	Eng	CS	supsw
A3804	BE_17	Block2	Stim17	CSES	0	ML	1255	3.098643726	Eng	CS	nonsw
A3805	BE_39	Block2	Stim17	CSES	1	CS	4174	3.620552445	Eng	CS	sw
A3806	BE_53	Block2	Stim27	CSES	1	CS	1384	3.14113609	Eng	CS	supsw
A3807	BE_17	Block2	Stim02	CSES	0	ML	667	2.824125834	Eng	CS	nonsw
A3808	BE_39	Block2	Stim27	CSES	1	CS	3024	3.480581787	Eng	CS	sw
A3809	BE_53	Block2	Stim28	CSES	1	CS	1640	3.214843848	Eng	CS	supsw
A3810	BE_17	Block2	Stim21	CSES	0	ML	752	2.876217841	Eng	CS	nonsw
A3811	BE_39	Block2	Stim02	CSES	0	ML	17296	4.237945677	Eng	CS	sw
A3812	BE_53	Block2	Stim01	CSES	0	ML	737	2.867467488	Eng	CS	supsw
A3813	BE_17	Block2	Stim26	CSES	0	ML	630	2.799340549	Eng	CS	nonsw
A3814	BE_39	Block2	Stim21	CSES	0	ML	7521	3.876275589	Eng	CS	sw
A3815	BE_53	Block2	Stim17	CSES	0	ML	1468	3.166726056	Eng	CS	supsw
A3816	BE_17	Block2	Stim27	CSES	0	ML	720	2.857332496	Eng	CS	nonsw
A3817	BE_39	Block2	Stim26	CSES	0	ML	4074	3.610021025	Eng	CS	sw
A3818	BE_53	Block2	Stim02	CSES	0	ML	499	2.698100546	Eng	CS	supsw
A3819	BE_17	Block2	Stim28	CSES	0	ML	762	2.881954971	Eng	CS	nonsw
A3820	BE_39	Block2	Stim28	CSES	0	ML	8165	3.911956189	Eng	CS	sw
A3821	BE_53	Block2	Stim21	CSES	0	ML	617	2.790285164	Eng	CS	supsw
A3822	BE_17	Block2	Stim29	CSES	0	ML	835	2.921686475	Eng	CS	nonsw
A3823	BE_39	Block2	Stim29	CSES	0	ML	8140	3.910624405	Eng	CS	sw
A3824	BE_53	Block2	Stim29	CSES	0	ML	2483	3.39497672	Eng	CS	supsw
A3825	BE_17	Block2	Stim03	CSES	0	ML	457	2.6599162	Eng	CS	nonsw
A3826	BE_39	Block2	Stim03	CSES	0	ML	3251	3.512016969	Eng	CS	sw
A3827	BE_53	Block2	Stim03	CSES	0	ML	1583	3.199480915	Eng	CS	supsw
A3828	BE_17	Block2	Stim32	CSES	0	ML	881	2.944975908	Eng	CS	nonsw
A3829	BE_39	Block2	Stim32	CSES	0	ML	1128	3.0523091	Eng	CS	sw
A3830	BE_53	Block2	Stim32	CSES	0	ML	2810	3.44870632	Eng	CS	supsw
A3831	BE_17	Block2	Stim13	CSSE	1	CS	750	2.875061263	Sp	CS	nonsw
A3832	BE_39	Block2	Stim36	CSSE	1	CS	5941	3.773859552	Sp	CS	sw
A3833	BE_53	Block2	Stim13	CSSE	1	CS	3079	3.488409689	Sp	CS	supsw
A3834	BE_17	Block2	Stim18	CSSE	0	ML	912	2.959994838	Sp	CS	nonsw
A3835	BE_39	Block2	Stim04	CSSE	1	CS	1248	3.096214585	Sp	CS	sw
A3836	BE_53	Block2	Stim18	CSSE	1	CS	1326	3.122543524	Sp	CS	supsw
A3837	BE_17	Block2	Stim22	CSSE	1	CS	2166	3.335658452	Sp	CS	nonsw
A3838	BE_39	Block2	Stim13	CSSE	0	ML	3630	3.559906625	Sp	CS	sw
A3839	BE_53	Block2	Stim22	CSSE	1	CS	1804	3.256236533	Sp	CS	supsw
A3840	BE_17	Block2	Stim23	CSSE	0	ML	1581	3.19893187	Sp	CS	nonsw
A3841	BE_39	Block2	Stim18	CSSE	0	ML	8041	3.905310062	Sp	CS	sw
A3842	BE_53	Block2	Stim30	CSSE	1	CS	2008	3.302763708	Sp	CS	supsw
A3843	BE_17	Block2	Stim24	CSSE	0	ML	2040	3.309630167	Sp	CS	nonsw
A3844	BE_39	Block2	Stim22	CSSE	0	ML	5022	3.700876708	Sp	CS	sw
A3845	BE_53	Block2	Stim04	CSSE	1	CS	504	2.702430536	Sp	CS	supsw
A3846	BE_17	Block2	Stim30	CSSE	0	ML	1066	3.027757205	Sp	CS	nonsw
A3847	BE_39	Block2	Stim23	CSSE	0	ML	8147	3.910997716	Sp	CS	sw
A3848	BE_53	Block2	Stim23	CSSE	0	ML	1882	3.274619619	Sp	CS	supsw
A3849	BE_17	Block2	Stim36	CSSE	0	ML	2444	3.388101202	Sp	CS	nonsw
A3850	BE_39	Block2	Stim24	CSSE	0	ML	5927	3.772834927	Sp	CS	sw
A3851	BE_53	Block2	Stim24	CSSE	0	ML	852	2.930439595	Sp	CS	supsw
A3852	BE_17	Block2	Stim04	CSSE	1	CS	658	2.818225894	Sp	CS	nonsw
A3853	BE_39	Block2	Stim30	CSSE	0	ML	2402	3.380573003	Sp	CS	sw
A3854	BE_53	Block2	Stim36	CSSE	0	ML	2129	3.328175661	Sp	CS	supsw
A3855	BE_17	Block2	Stim05	CSSE	0	ML	2261	3.354300562	Sp	CS	nonsw
A3856	BE_39	Block2	Stim05	CSSE	0	ML	1685	3.226599905	Sp	CS	sw
A3857	BE_53	Block2	Stim05	CSSE	0	ML	1457	3.163459552	Sp	CS	supsw
A3858	BE_17	Block2	Stim06	CSSE	0	ML	652	2.814247596	Sp	CS	nonsw
A3859	BE_39	Block2	Stim06	CSSE	0	ML	1377	3.13893394	Sp	CS	sw
A3860	BE_53	Block2	Stim06	CSSE	0	ML	2429	3.385427515	Sp	CS	supsw
A3861	BE_17	Block2	Stim14	E	1	ML	928	2.967547976	Eng	ML	nonsw
A3862	BE_39	Block2	Stim14	E	1	ML	1269	3.103461622	Eng	ML	sw
A3863	BE_53	Block2	Stim14	E	1	ML	565	2.752048448	Eng	ML	supsw
A3864	BE_17	Block2	Stim15	E	1	ML	1708	3.232487866	Eng	ML	nonsw
A3865	BE_39	Block2	Stim15	E	1	ML	6819	3.83372069	Eng	ML	sw
A3866	BE_53	Block2	Stim15	E	1	ML	548	2.738780558	Eng	ML	supsw
A3867	BE_17	Block2	Stim16	E	1	ML	667	2.824125834	Eng	ML	nonsw
A3868	BE_39	Block2	Stim16	E	1	ML	3462	3.539327064	Eng	ML	sw
A3869	BE_53	Block2	Stim16	E	1	ML	1113	3.046495164	Eng	ML	supsw
A3870	BE_17	Block2	Stim33	E	1	ML	1471	3.167612673	Eng	ML	nonsw
A3871	BE_39	Block2	Stim33	E	1	ML	3023	3.480438147	Eng	ML	sw
A3872	BE_53	Block2	Stim34	E	1	ML	2013	3.303843775	Eng	ML	supsw
A3873	BE_17	Block2	Stim34	E	1	ML	750	2.875061263	Eng	ML	nonsw
A3874	BE_39	Block2	Stim34	E	1	ML	4570	3.6599162	Eng	ML	sw
A3875	BE_53	Block2	Stim35	E	1	ML	1339	3.126780577	Eng	ML	supsw
A3876	BE_17	Block2	Stim35	E	1	ML	825	2.916453949	Eng	ML	nonsw
A3877	BE_39	Block2	Stim35	E	1	ML	1230	3.089905111	Eng	ML	sw
A3878	BE_53	Block2	Stim37	E	1	ML	802	2.904174368	Eng	ML	supsw
A3879	BE_17	Block2	Stim37	E	1	ML	465	2.667452953	Eng	ML	nonsw
A3880	BE_39	Block2	Stim37	E	1	ML	3872	3.587935349	Eng	ML	sw
A3881	BE_53	Block2	Stim39	E	1	ML	898	2.953276337	Eng	ML	supsw
A3882	BE_17	Block2	Stim38	E	1	ML	2210	3.344392274	Eng	ML	nonsw
A3883	BE_39	Block2	Stim38	E	1	ML	3369	3.527501011	Eng	ML	sw
A3884	BE_53	Block2	Stim40	E	1	ML	1666	3.221674997	Eng	ML	supsw
A3885	BE_17	Block2	Stim39	E	1	ML	916	2.961895474	Eng	ML	nonsw
A3886	BE_39	Block2	Stim39	E	1	ML	6193	3.79190108	Eng	ML	sw
A3887	BE_53	Block2	Stim33	E	0	CS	1034	3.014520539	Eng	ML	supsw
A3888	BE_17	Block2	Stim40	E	1	ML	882	2.945468585	Eng	ML	nonsw
A3889	BE_39	Block2	Stim40	E	1	ML	1217	3.085290578	Eng	ML	sw
A3890	BE_53	Block2	Stim38	E	0	CS	923	2.965201701	Eng	ML	supsw
A3891	BE_17	Block2	Stim10	S	1	ML	784	2.894316063	Sp	ML	nonsw
A3892	BE_39	Block2	Stim11	S	0	CS	7582	3.87978378	Sp	ML	sw
A3893	BE_53	Block2	Stim10	S	1	ML	1163	3.065579715	Sp	ML	supsw
A3894	BE_17	Block2	Stim11	S	1	ML	547	2.737987326	Sp	ML	nonsw
A3895	BE_39	Block2	Stim12	S	0	CS	3563	3.551815822	Sp	ML	sw
A3896	BE_53	Block2	Stim11	S	1	ML	1095	3.039414119	Sp	ML	supsw
A3897	BE_17	Block2	Stim12	S	1	ML	1674	3.223755454	Sp	ML	nonsw
A3898	BE_39	Block2	Stim20	S	0	CS	7163	3.855094951	Sp	ML	sw
A3899	BE_53	Block2	Stim12	S	1	ML	1782	3.2509077	Sp	ML	supsw
A3900	BE_17	Block2	Stim19	S	1	ML	440	2.643452676	Sp	ML	nonsw
A3901	BE_39	Block2	Stim09	S	0	CS	2587	3.412796429	Sp	ML	sw
A3902	BE_53	Block2	Stim19	S	1	ML	664	2.822168079	Sp	ML	supsw
A3903	BE_17	Block2	Stim20	S	1	ML	1165	3.066325925	Sp	ML	nonsw
A3904	BE_39	Block2	Stim10	S	1	ML	10997	4.041274225	Sp	ML	sw
A3905	BE_53	Block2	Stim20	S	1	ML	928	2.967547976	Sp	ML	supsw
A3906	BE_17	Block2	Stim25	S	0	CS	3429	3.535167485	Sp	ML	nonsw
A3907	BE_39	Block2	Stim19	S	1	ML	2194	3.341236623	Sp	ML	sw
A3908	BE_53	Block2	Stim31	S	1	ML	1590	3.201397124	Sp	ML	supsw
A3909	BE_17	Block2	Stim31	S	0	CS	1594	3.202488317	Sp	ML	nonsw
A3910	BE_39	Block2	Stim25	S	1	ML	9307	3.968809714	Sp	ML	sw
A3911	BE_53	Block2	Stim07	S	1	ML	990	2.995635195	Sp	ML	supsw
A3912	BE_17	Block2	Stim07	S	1	ML	2234	3.349083169	Sp	ML	nonsw
A3913	BE_39	Block2	Stim31	S	1	ML	6754	3.829561056	Sp	ML	sw
A3914	BE_53	Block2	Stim08	S	1	ML	1398	3.145507171	Sp	ML	supsw
A3915	BE_17	Block2	Stim08	S	1	ML	931	2.968949681	Sp	ML	nonsw
A3916	BE_39	Block2	Stim07	S	1	ML	11150	4.047274867	Sp	ML	sw
A3917	BE_53	Block2	Stim25	S	0	CS	1751	3.243286146	Sp	ML	supsw
A3918	BE_17	Block2	Stim09	S	1	ML	814	2.910624405	Sp	ML	nonsw
A3919	BE_39	Block2	Stim08	S	1	ML	8277	3.917872955	Sp	ML	sw
A3920	BE_53	Block2	Stim09	S	0	CS	2552	3.40688067	Sp	ML	supsw
A3921	BE_17	Block3	Stim01	CSES	0	ML	448	2.651278014	Eng	CS	nonsw
A3922	BE_39	Block3	Stim27	CSES	1	CS	3297	3.518118947	Eng	CS	sw
A3923	BE_53	Block3	Stim17	CSES	1	CS	691	2.839478047	Eng	CS	supsw
A3924	BE_17	Block3	Stim17	CSES	0	ML	1134	3.054613055	Eng	CS	nonsw
A3925	BE_39	Block3	Stim28	CSES	1	CS	3657	3.56312496	Eng	CS	sw
A3926	BE_53	Block3	Stim02	CSES	1	CS	1051	3.021602716	Eng	CS	supsw
A3927	BE_17	Block3	Stim02	CSES	0	ML	915	2.961421094	Eng	CS	nonsw
A3928	BE_39	Block3	Stim03	CSES	1	CS	3784	3.577951128	Eng	CS	sw
A3929	BE_53	Block3	Stim27	CSES	1	CS	2363	3.373463722	Eng	CS	supsw
A3930	BE_17	Block3	Stim21	CSES	0	ML	989	2.995196292	Eng	CS	nonsw
A3931	BE_39	Block3	Stim32	CSES	1	CS	4599	3.66266341	Eng	CS	sw
A3932	BE_53	Block3	Stim28	CSES	1	CS	1525	3.183269844	Eng	CS	supsw
A3933	BE_17	Block3	Stim26	CSES	0	ML	1161	3.06483222	Eng	CS	nonsw
A3934	BE_39	Block3	Stim01	CSES	0	ML	5193	3.715418323	Eng	CS	sw
A3935	BE_53	Block3	Stim29	CSES	1	CS	2574	3.410608543	Eng	CS	supsw
A3936	BE_17	Block3	Stim27	CSES	0	ML	528	2.722633923	Eng	CS	nonsw
A3937	BE_39	Block3	Stim17	CSES	0	ML	2630	3.419955748	Eng	CS	sw
A3938	BE_53	Block3	Stim01	CSES	0	ML	514	2.710963119	Eng	CS	supsw
A3939	BE_17	Block3	Stim28	CSES	0	ML	811	2.909020854	Eng	CS	nonsw
A3940	BE_39	Block3	Stim02	CSES	0	ML	3345	3.524396122	Eng	CS	sw
A3941	BE_53	Block3	Stim21	CSES	0	ML	560	2.748188027	Eng	CS	supsw
A3942	BE_17	Block3	Stim29	CSES	0	ML	2345	3.370142847	Eng	CS	nonsw
A3943	BE_39	Block3	Stim21	CSES	0	ML	1790	3.252853031	Eng	CS	sw
A3944	BE_53	Block3	Stim26	CSES	0	ML	1197	3.07809415	Eng	CS	supsw
A3945	BE_17	Block3	Stim03	CSES	0	ML	401	2.603144373	Eng	CS	nonsw
A3946	BE_39	Block3	Stim26	CSES	0	ML	1070	3.029383778	Eng	CS	sw
A3947	BE_53	Block3	Stim03	CSES	0	ML	517	2.713490543	Eng	CS	supsw
A3948	BE_17	Block3	Stim32	CSES	0	ML	940	2.973127854	Eng	CS	nonsw
A3949	BE_39	Block3	Stim29	CSES	0	ML	5838	3.766264091	Eng	CS	sw
A3950	BE_53	Block3	Stim32	CSES	0	ML	519	2.715167358	Eng	CS	supsw
A3951	BE_17	Block3	Stim13	CSSE	0	ML	1464	3.165541077	Sp	CS	nonsw
A3952	BE_39	Block3	Stim18	CSSE	1	CS	4314	3.634880141	Sp	CS	sw
A3953	BE_53	Block3	Stim18	CSSE	1	CS	2036	3.308777774	Sp	CS	supsw
A3954	BE_17	Block3	Stim18	CSSE	0	ML	755	2.877946952	Sp	CS	nonsw
A3955	BE_39	Block3	Stim22	CSSE	1	CS	10778	4.032538179	Sp	CS	sw
A3956	BE_53	Block3	Stim22	CSSE	1	CS	1631	3.212453961	Sp	CS	supsw
A3957	BE_17	Block3	Stim22	CSSE	0	ML	880	2.944482672	Sp	CS	nonsw
A3958	BE_39	Block3	Stim23	CSSE	1	CS	3235	3.509874285	Sp	CS	sw
A3959	BE_53	Block3	Stim23	CSSE	1	CS	907	2.957607287	Sp	CS	supsw
A3960	BE_17	Block3	Stim23	CSSE	0	ML	415	2.618048097	Sp	CS	nonsw
A3961	BE_39	Block3	Stim36	CSSE	1	CS	4233	3.626648268	Sp	CS	sw
A3962	BE_53	Block3	Stim36	CSSE	1	CS	1834	3.263399331	Sp	CS	supsw
A3963	BE_17	Block3	Stim24	CSSE	0	ML	505	2.703291378	Sp	CS	nonsw
A3964	BE_39	Block3	Stim06	CSSE	1	CS	7074	3.849665055	Sp	CS	sw
A3965	BE_53	Block3	Stim05	CSSE	1	CS	512	2.709269961	Sp	CS	supsw
A3966	BE_17	Block3	Stim30	CSSE	0	ML	1498	3.175511813	Sp	CS	nonsw
A3967	BE_39	Block3	Stim13	CSSE	0	ML	8787	3.943840626	Sp	CS	sw
A3968	BE_53	Block3	Stim13	CSSE	0	ML	1134	3.054613055	Sp	CS	supsw
A3969	BE_17	Block3	Stim36	CSSE	0	ML	4623	3.664923893	Sp	CS	nonsw
A3970	BE_39	Block3	Stim24	CSSE	0	ML	3412	3.533009022	Sp	CS	sw
A3971	BE_53	Block3	Stim24	CSSE	0	ML	1948	3.289588953	Sp	CS	supsw
A3972	BE_17	Block3	Stim04	CSSE	1	CS	796	2.900913068	Sp	CS	nonsw
A3973	BE_39	Block3	Stim30	CSSE	0	ML	3045	3.483587297	Sp	CS	sw
A3974	BE_53	Block3	Stim30	CSSE	0	ML	2470	3.392696953	Sp	CS	supsw
A3975	BE_17	Block3	Stim05	CSSE	0	ML	376	2.575187845	Sp	CS	nonsw
A3976	BE_39	Block3	Stim04	CSSE	0	ML	1093	3.038620162	Sp	CS	sw
A3977	BE_53	Block3	Stim04	CSSE	0	ML	2190	3.340444115	Sp	CS	supsw
A3978	BE_17	Block3	Stim06	CSSE	0	ML	508	2.705863712	Sp	CS	nonsw
A3979	BE_39	Block3	Stim05	CSSE	0	ML	1937	3.287129621	Sp	CS	sw
A3980	BE_53	Block3	Stim06	CSSE	0	ML	903	2.95568775	Sp	CS	supsw
A3981	BE_17	Block3	Stim14	E	1	ML	1504	3.177247836	Eng	ML	nonsw
A3982	BE_39	Block3	Stim15	E	0	CS	4379	3.641374945	Eng	ML	sw
A3983	BE_53	Block3	Stim14	E	1	ML	1056	3.023663918	Eng	ML	supsw
A3984	BE_17	Block3	Stim15	E	1	ML	608	2.783903579	Eng	ML	nonsw
A3985	BE_39	Block3	Stim33	E	0	CS	5523	3.742175043	Eng	ML	sw
A3986	BE_53	Block3	Stim15	E	1	ML	865	2.937016107	Eng	ML	supsw
A3987	BE_17	Block3	Stim16	E	1	ML	788	2.896526217	Eng	ML	nonsw
A3988	BE_39	Block3	Stim14	E	1	ML	2011	3.303412071	Eng	ML	sw
A3989	BE_53	Block3	Stim16	E	1	ML	674	2.828659897	Eng	ML	supsw
A3990	BE_17	Block3	Stim33	E	1	ML	327	2.514547753	Eng	ML	nonsw
A3991	BE_39	Block3	Stim16	E	1	ML	3602	3.556543708	Eng	ML	sw
A3992	BE_53	Block3	Stim34	E	1	ML	1716	3.234517284	Eng	ML	supsw
A3993	BE_17	Block3	Stim34	E	1	ML	639	2.805500858	Eng	ML	nonsw
A3994	BE_39	Block3	Stim34	E	1	ML	1936	3.286905353	Eng	ML	sw
A3995	BE_53	Block3	Stim35	E	1	ML	1178	3.07114529	Eng	ML	supsw
A3996	BE_17	Block3	Stim35	E	1	ML	1567	3.195068996	Eng	ML	nonsw
A3997	BE_39	Block3	Stim35	E	1	ML	2878	3.45909079	Eng	ML	sw
A3998	BE_53	Block3	Stim37	E	1	ML	2141	3.330616667	Eng	ML	supsw
A3999	BE_17	Block3	Stim37	E	1	ML	640	2.806179974	Eng	ML	nonsw
A4000	BE_39	Block3	Stim37	E	1	ML	2723	3.435047641	Eng	ML	sw
A4001	BE_53	Block3	Stim39	E	1	ML	767	2.884795364	Eng	ML	supsw
A4002	BE_17	Block3	Stim38	E	1	ML	1630	3.212187604	Eng	ML	nonsw
A4003	BE_39	Block3	Stim38	E	1	ML	7075	3.849726444	Eng	ML	sw
A4004	BE_53	Block3	Stim40	E	1	ML	507	2.705007959	Eng	ML	supsw
A4005	BE_17	Block3	Stim39	E	1	ML	599	2.777426822	Eng	ML	nonsw
A4006	BE_39	Block3	Stim39	E	1	ML	1492	3.173768823	Eng	ML	sw
A4007	BE_53	Block3	Stim33	E	0	CS	2267	3.35545152	Eng	ML	supsw
A4008	BE_17	Block3	Stim40	E	1	ML	1389	3.142702246	Eng	ML	nonsw
A4009	BE_39	Block3	Stim40	E	1	ML	3853	3.585799009	Eng	ML	sw
A4010	BE_53	Block3	Stim38	E	0	CS	596	2.77524626	Eng	ML	supsw
A4011	BE_17	Block3	Stim10	S	1	ML	3731	3.571825249	Sp	ML	nonsw
A4012	BE_39	Block3	Stim10	S	0	CS	6419	3.807467376	Sp	ML	sw
A4013	BE_53	Block3	Stim12	S	1	ML	2830	3.451786436	Sp	ML	supsw
A4014	BE_17	Block3	Stim11	S	1	ML	448	2.651278014	Sp	ML	nonsw
A4015	BE_39	Block3	Stim12	S	0	CS	2684	3.428782511	Sp	ML	sw
A4016	BE_53	Block3	Stim19	S	1	ML	1767	3.24723655	Sp	ML	supsw
A4017	BE_17	Block3	Stim12	S	1	ML	374	2.572871602	Sp	ML	nonsw
A4018	BE_39	Block3	Stim31	S	0	CS	3384	3.529430354	Sp	ML	sw
A4019	BE_53	Block3	Stim25	S	1	ML	1188	3.074816441	Sp	ML	supsw
A4020	BE_17	Block3	Stim19	S	1	ML	319	2.503790683	Sp	ML	nonsw
A4021	BE_39	Block3	Stim11	S	1	ML	1153	3.061829307	Sp	ML	sw
A4022	BE_53	Block3	Stim10	S	0	CS	2072	3.316389751	Sp	ML	supsw
A4023	BE_17	Block3	Stim20	S	1	ML	322	2.507855872	Sp	ML	nonsw
A4024	BE_39	Block3	Stim19	S	1	ML	4041	3.60648885	Sp	ML	sw
A4025	BE_53	Block3	Stim11	S	0	CS	525	2.720159303	Sp	ML	supsw
A4026	BE_17	Block3	Stim25	S	1	ML	923	2.965201701	Sp	ML	nonsw
A4027	BE_39	Block3	Stim20	S	1	ML	3573	3.553033016	Sp	ML	sw
A4028	BE_53	Block3	Stim20	S	0	CS	481	2.682145076	Sp	ML	supsw
A4029	BE_17	Block3	Stim31	S	1	ML	505	2.703291378	Sp	ML	nonsw
A4030	BE_39	Block3	Stim25	S	1	ML	936	2.971275849	Sp	ML	sw
A4031	BE_53	Block3	Stim31	S	0	CS	1569	3.195622944	Sp	ML	supsw
A4032	BE_17	Block3	Stim07	S	1	ML	918	2.962842681	Sp	ML	nonsw
A4033	BE_39	Block3	Stim07	S	1	ML	3086	3.489395922	Sp	ML	sw
A4034	BE_53	Block3	Stim07	S	0	CS	2294	3.360593414	Sp	ML	supsw
A4035	BE_17	Block3	Stim08	S	1	ML	367	2.564666064	Sp	ML	nonsw
A4036	BE_39	Block3	Stim08	S	1	ML	4956	3.695131298	Sp	ML	sw
A4037	BE_53	Block3	Stim08	S	0	CS	2470	3.392696953	Sp	ML	supsw
A4038	BE_17	Block3	Stim09	S	1	ML	1172	3.068927612	Sp	ML	nonsw
A4039	BE_39	Block3	Stim09	S	1	ML	7382	3.868174041	Sp	ML	sw
A4040	BE_53	Block3	Stim09	S	0	CS	1611	3.20709554	Sp	ML	supsw
A4041	BE_17	Block4	Stim01	CSES	0	ML	595	2.774516966	Eng	CS	nonsw
A4042	BE_39	Block4	Stim01	CSES	1	CS	5706	3.756331767	Eng	CS	sw
A4043	BE_53	Block4	Stim02	CSES	1	CS	604	2.781036939	Eng	CS	supsw
A4044	BE_17	Block4	Stim17	CSES	0	ML	740	2.86923172	Eng	CS	nonsw
A4045	BE_39	Block4	Stim17	CSES	1	CS	1238	3.092720645	Eng	CS	sw
A4046	BE_53	Block4	Stim26	CSES	1	CS	511	2.7084209	Eng	CS	supsw
A4047	BE_17	Block4	Stim02	CSES	0	ML	447	2.650307523	Eng	CS	nonsw
