"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"46"	"A46"	"BE_06"	"Block1"	"Stim33"	"E"	0	"CS"	1140	3.056904851	"Eng"	"ML"	"supsw"
"47"	"A47"	"BE_03"	"Block1"	"Stim33"	"E"	0	"CS"	3985	3.600428326	"Eng"	"ML"	"nonsw"
"48"	"A48"	"BE_06"	"Block1"	"Stim34"	"E"	0	"CS"	478	2.679427897	"Eng"	"ML"	"supsw"
"49"	"A49"	"BE_03"	"Block1"	"Stim34"	"E"	1	"ML"	1204	3.080626487	"Eng"	"ML"	"nonsw"
"50"	"A50"	"BE_06"	"Block1"	"Stim37"	"E"	0	"CS"	2028	3.307067951	"Eng"	"ML"	"supsw"
"51"	"A51"	"BE_03"	"Block1"	"Stim35"	"E"	1	"ML"	1661	3.220369632	"Eng"	"ML"	"nonsw"
"52"	"A52"	"BE_06"	"Block1"	"Stim38"	"E"	0	"CS"	2446	3.388456453	"Eng"	"ML"	"supsw"
"53"	"A53"	"BE_03"	"Block1"	"Stim37"	"E"	0	"CS"	4511	3.654272827	"Eng"	"ML"	"nonsw"
"54"	"A54"	"BE_06"	"Block1"	"Stim39"	"E"	0	"CS"	641	2.80685803	"Eng"	"ML"	"supsw"
"55"	"A55"	"BE_03"	"Block1"	"Stim38"	"E"	1	"ML"	608	2.783903579	"Eng"	"ML"	"nonsw"
"56"	"A56"	"BE_06"	"Block1"	"Stim14"	"E"	1	"ML"	902	2.955206538	"Eng"	"ML"	"supsw"
"57"	"A57"	"BE_03"	"Block1"	"Stim39"	"E"	1	"ML"	1173	3.069298012	"Eng"	"ML"	"nonsw"
"58"	"A58"	"BE_06"	"Block1"	"Stim35"	"E"	1	"ML"	1296	3.112605002	"Eng"	"ML"	"supsw"
"59"	"A59"	"BE_03"	"Block1"	"Stim40"	"E"	0	"CS"	2111	3.324488233	"Eng"	"ML"	"nonsw"
"60"	"A60"	"BE_06"	"Block1"	"Stim40"	"E"	1	"ML"	1371	3.137037455	"Eng"	"ML"	"supsw"
"61"	"A61"	"BE_03"	"Block1"	"Stim10"	"S"	1	"ML"	546	2.737192643	"Sp"	"ML"	"nonsw"
"62"	"A62"	"BE_06"	"Block1"	"Stim10"	"S"	0	"CS"	6620	3.820857989	"Sp"	"ML"	"supsw"
"63"	"A63"	"BE_03"	"Block1"	"Stim11"	"S"	1	"ML"	965	2.984527313	"Sp"	"ML"	"nonsw"
"64"	"A64"	"BE_06"	"Block1"	"Stim11"	"S"	0	"CS"	462	2.664641976	"Sp"	"ML"	"supsw"
"65"	"A65"	"BE_03"	"Block1"	"Stim12"	"S"	1	"ML"	779	2.891537458	"Sp"	"ML"	"nonsw"
"66"	"A66"	"BE_06"	"Block1"	"Stim12"	"S"	0	"CS"	761	2.881384657	"Sp"	"ML"	"supsw"
"67"	"A67"	"BE_03"	"Block1"	"Stim19"	"S"	1	"ML"	524	2.719331287	"Sp"	"ML"	"nonsw"
"68"	"A68"	"BE_06"	"Block1"	"Stim19"	"S"	0	"CS"	4246	3.62797999	"Sp"	"ML"	"supsw"
"69"	"A69"	"BE_03"	"Block1"	"Stim20"	"S"	1	"ML"	377	2.57634135	"Sp"	"ML"	"nonsw"
"70"	"A70"	"BE_06"	"Block1"	"Stim20"	"S"	0	"CS"	1359	3.133219457	"Sp"	"ML"	"supsw"
"71"	"A71"	"BE_03"	"Block1"	"Stim25"	"S"	1	"ML"	641	2.80685803	"Sp"	"ML"	"nonsw"
"72"	"A72"	"BE_06"	"Block1"	"Stim25"	"S"	1	"ML"	997	2.998695158	"Sp"	"ML"	"supsw"
"73"	"A73"	"BE_03"	"Block1"	"Stim31"	"S"	1	"ML"	3230	3.509202522	"Sp"	"ML"	"nonsw"
"74"	"A74"	"BE_06"	"Block1"	"Stim31"	"S"	1	"ML"	8458	3.927267681	"Sp"	"ML"	"supsw"
"75"	"A75"	"BE_03"	"Block1"	"Stim07"	"S"	1	"ML"	490	2.69019608	"Sp"	"ML"	"nonsw"
"76"	"A76"	"BE_06"	"Block1"	"Stim07"	"S"	1	"ML"	877	2.942999593	"Sp"	"ML"	"supsw"
"77"	"A77"	"BE_03"	"Block1"	"Stim08"	"S"	1	"ML"	457	2.6599162	"Sp"	"ML"	"nonsw"
"78"	"A78"	"BE_06"	"Block1"	"Stim08"	"S"	1	"ML"	1654	3.218535505	"Sp"	"ML"	"supsw"
"79"	"A79"	"BE_03"	"Block1"	"Stim09"	"S"	1	"ML"	1421	3.152594078	"Sp"	"ML"	"nonsw"
"80"	"A80"	"BE_06"	"Block1"	"Stim09"	"S"	1	"ML"	3460	3.539076099	"Sp"	"ML"	"supsw"
"81"	"A81"	"BE_03"	"Block2"	"Stim01"	"CSES"	0	"ML"	340	2.531478917	"Eng"	"CS"	"nonsw"
"82"	"A82"	"BE_06"	"Block2"	"Stim02"	"CSES"	1	"CS"	932	2.969415912	"Eng"	"CS"	"supsw"
"83"	"A83"	"BE_03"	"Block2"	"Stim17"	"CSES"	0	"ML"	807	2.906873535	"Eng"	"CS"	"nonsw"
"84"	"A84"	"BE_06"	"Block2"	"Stim21"	"CSES"	1	"CS"	1924	3.284205068	"Eng"	"CS"	"supsw"
"85"	"A85"	"BE_03"	"Block2"	"Stim02"	"CSES"	0	"ML"	277	2.442479769	"Eng"	"CS"	"nonsw"
"86"	"A86"	"BE_06"	"Block2"	"Stim27"	"CSES"	1	"CS"	2227	3.347720217	"Eng"	"CS"	"supsw"
"87"	"A87"	"BE_03"	"Block2"	"Stim21"	"CSES"	0	"ML"	306	2.485721426	"Eng"	"CS"	"nonsw"
"88"	"A88"	"BE_06"	"Block2"	"Stim28"	"CSES"	1	"CS"	563	2.750508395	"Eng"	"CS"	"supsw"
"89"	"A89"	"BE_03"	"Block2"	"Stim26"	"CSES"	0	"ML"	278	2.444044796	"Eng"	"CS"	"nonsw"
"90"	"A90"	"BE_06"	"Block2"	"Stim29"	"CSES"	1	"CS"	449	2.652246341	"Eng"	"CS"	"supsw"
"91"	"A91"	"BE_03"	"Block2"	"Stim27"	"CSES"	1	"CS"	1858	3.26904571	"Eng"	"CS"	"nonsw"
"92"	"A92"	"BE_06"	"Block2"	"Stim03"	"CSES"	1	"CS"	1044	3.018700499	"Eng"	"CS"	"supsw"
"93"	"A93"	"BE_03"	"Block2"	"Stim28"	"CSES"	1	"CS"	1442	3.15896526	"Eng"	"CS"	"nonsw"
"94"	"A94"	"BE_06"	"Block2"	"Stim01"	"CSES"	0	"ML"	1060	3.025305865	"Eng"	"CS"	"supsw"
