"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"2102"	"A2102"	"BE_33"	"Block3"	"Stim13"	"CSSE"	1	"CS"	1719	3.235275877	"Sp"	"CS"	"supsw"
"2103"	"A2103"	"BE_12"	"Block3"	"Stim18"	"CSSE"	1	"CS"	2754	3.439963936	"Sp"	"CS"	"nonsw"
"2104"	"A2104"	"BE_33"	"Block3"	"Stim24"	"CSSE"	1	"CS"	2739	3.437592032	"Sp"	"CS"	"supsw"
"2105"	"A2105"	"BE_12"	"Block3"	"Stim22"	"CSSE"	0	"ML"	8768	3.942900541	"Sp"	"CS"	"nonsw"
"2106"	"A2106"	"BE_33"	"Block3"	"Stim30"	"CSSE"	1	"CS"	3325	3.52179165	"Sp"	"CS"	"supsw"
"2107"	"A2107"	"BE_12"	"Block3"	"Stim23"	"CSSE"	0	"ML"	6359	3.803388825	"Sp"	"CS"	"nonsw"
"2108"	"A2108"	"BE_33"	"Block3"	"Stim18"	"CSSE"	0	"ML"	1427	3.154423973	"Sp"	"CS"	"supsw"
"2109"	"A2109"	"BE_12"	"Block3"	"Stim24"	"CSSE"	0	"ML"	3126	3.494988974	"Sp"	"CS"	"nonsw"
"2110"	"A2110"	"BE_33"	"Block3"	"Stim22"	"CSSE"	0	"ML"	3610	3.557507202	"Sp"	"CS"	"supsw"
"2111"	"A2111"	"BE_12"	"Block3"	"Stim30"	"CSSE"	0	"ML"	3192	3.504062883	"Sp"	"CS"	"nonsw"
"2112"	"A2112"	"BE_33"	"Block3"	"Stim23"	"CSSE"	0	"ML"	5014	3.70018433	"Sp"	"CS"	"supsw"
"2113"	"A2113"	"BE_12"	"Block3"	"Stim36"	"CSSE"	0	"ML"	1016	3.006893708	"Sp"	"CS"	"nonsw"
"2114"	"A2114"	"BE_33"	"Block3"	"Stim36"	"CSSE"	0	"ML"	1070	3.029383778	"Sp"	"CS"	"supsw"
"2115"	"A2115"	"BE_12"	"Block3"	"Stim04"	"CSSE"	0	"ML"	855	2.931966115	"Sp"	"CS"	"nonsw"
"2116"	"A2116"	"BE_33"	"Block3"	"Stim04"	"CSSE"	0	"ML"	5757	3.760196229	"Sp"	"CS"	"supsw"
"2117"	"A2117"	"BE_12"	"Block3"	"Stim05"	"CSSE"	0	"ML"	6985	3.84416641	"Sp"	"CS"	"nonsw"
"2118"	"A2118"	"BE_33"	"Block3"	"Stim05"	"CSSE"	0	"ML"	1375	3.138302698	"Sp"	"CS"	"supsw"
"2119"	"A2119"	"BE_12"	"Block3"	"Stim06"	"CSSE"	0	"ML"	906	2.957128198	"Sp"	"CS"	"nonsw"
"2120"	"A2120"	"BE_33"	"Block3"	"Stim06"	"CSSE"	0	"ML"	715	2.854306042	"Sp"	"CS"	"supsw"
"2121"	"A2121"	"BE_12"	"Block3"	"Stim14"	"E"	1	"ML"	1704	3.23146959	"Eng"	"ML"	"nonsw"
"2122"	"A2122"	"BE_33"	"Block3"	"Stim33"	"E"	0	"CS"	252	2.401400541	"Eng"	"ML"	"supsw"
"2123"	"A2123"	"BE_12"	"Block3"	"Stim15"	"E"	1	"ML"	6287	3.79844346	"Eng"	"ML"	"nonsw"
"2125"	"A2125"	"BE_12"	"Block3"	"Stim16"	"E"	1	"ML"	1139	3.056523724	"Eng"	"ML"	"nonsw"
"2126"	"A2126"	"BE_33"	"Block3"	"Stim15"	"E"	1	"ML"	2951	3.469969209	"Eng"	"ML"	"supsw"
"2127"	"A2127"	"BE_12"	"Block3"	"Stim33"	"E"	1	"ML"	1798	3.254789687	"Eng"	"ML"	"nonsw"
"2128"	"A2128"	"BE_33"	"Block3"	"Stim16"	"E"	1	"ML"	2338	3.368844507	"Eng"	"ML"	"supsw"
"2129"	"A2129"	"BE_12"	"Block3"	"Stim34"	"E"	1	"ML"	2321	3.36567514	"Eng"	"ML"	"nonsw"
"2130"	"A2130"	"BE_33"	"Block3"	"Stim34"	"E"	1	"ML"	9437	3.974833955	"Eng"	"ML"	"supsw"
"2131"	"A2131"	"BE_12"	"Block3"	"Stim35"	"E"	1	"ML"	4792	3.680516809	"Eng"	"ML"	"nonsw"
"2132"	"A2132"	"BE_33"	"Block3"	"Stim35"	"E"	1	"ML"	2196	3.341632336	"Eng"	"ML"	"supsw"
"2133"	"A2133"	"BE_12"	"Block3"	"Stim37"	"E"	1	"ML"	3468	3.540079089	"Eng"	"ML"	"nonsw"
"2135"	"A2135"	"BE_12"	"Block3"	"Stim38"	"E"	1	"ML"	1009	3.003891166	"Eng"	"ML"	"nonsw"
"2136"	"A2136"	"BE_33"	"Block3"	"Stim38"	"E"	1	"ML"	1115	3.047274867	"Eng"	"ML"	"supsw"
"2137"	"A2137"	"BE_12"	"Block3"	"Stim39"	"E"	1	"ML"	910	2.959041392	"Eng"	"ML"	"nonsw"
"2138"	"A2138"	"BE_33"	"Block3"	"Stim39"	"E"	1	"ML"	1217	3.085290578	"Eng"	"ML"	"supsw"
"2139"	"A2139"	"BE_12"	"Block3"	"Stim40"	"E"	1	"ML"	994	2.997386384	"Eng"	"ML"	"nonsw"
"2140"	"A2140"	"BE_33"	"Block3"	"Stim40"	"E"	1	"ML"	3642	3.561339941	"Eng"	"ML"	"supsw"
"2141"	"A2141"	"BE_12"	"Block3"	"Stim10"	"S"	1	"ML"	1165	3.066325925	"Sp"	"ML"	"nonsw"
"2142"	"A2142"	"BE_33"	"Block3"	"Stim10"	"S"	0	"CS"	2516	3.400710637	"Sp"	"ML"	"supsw"
"2143"	"A2143"	"BE_12"	"Block3"	"Stim11"	"S"	1	"ML"	669	2.825426118	"Sp"	"ML"	"nonsw"
"2144"	"A2144"	"BE_33"	"Block3"	"Stim11"	"S"	0	"CS"	1661	3.220369632	"Sp"	"ML"	"supsw"
"2145"	"A2145"	"BE_12"	"Block3"	"Stim12"	"S"	1	"ML"	740	2.86923172	"Sp"	"ML"	"nonsw"
"2146"	"A2146"	"BE_33"	"Block3"	"Stim07"	"S"	0	"CS"	4207	3.623972512	"Sp"	"ML"	"supsw"
"2147"	"A2147"	"BE_12"	"Block3"	"Stim19"	"S"	1	"ML"	3948	3.596377144	"Sp"	"ML"	"nonsw"
"2148"	"A2148"	"BE_33"	"Block3"	"Stim08"	"S"	0	"CS"	1244	3.09482038	"Sp"	"ML"	"supsw"
"2149"	"A2149"	"BE_12"	"Block3"	"Stim20"	"S"	1	"ML"	821	2.914343157	"Sp"	"ML"	"nonsw"
"2150"	"A2150"	"BE_33"	"Block3"	"Stim09"	"S"	0	"CS"	838	2.923244019	"Sp"	"ML"	"supsw"
"2151"	"A2151"	"BE_12"	"Block3"	"Stim25"	"S"	1	"ML"	779	2.891537458	"Sp"	"ML"	"nonsw"
"2152"	"A2152"	"BE_33"	"Block3"	"Stim12"	"S"	1	"ML"	641	2.80685803	"Sp"	"ML"	"supsw"
"2153"	"A2153"	"BE_12"	"Block3"	"Stim31"	"S"	0	"CS"	3198	3.504878459	"Sp"	"ML"	"nonsw"
"2154"	"A2154"	"BE_33"	"Block3"	"Stim19"	"S"	1	"ML"	1392	3.143639235	"Sp"	"ML"	"supsw"
"2155"	"A2155"	"BE_12"	"Block3"	"Stim07"	"S"	1	"ML"	2491	3.396373728	"Sp"	"ML"	"nonsw"
"2156"	"A2156"	"BE_33"	"Block3"	"Stim20"	"S"	1	"ML"	2129	3.328175661	"Sp"	"ML"	"supsw"
"2157"	"A2157"	"BE_12"	"Block3"	"Stim08"	"S"	0	"CS"	2569	3.409764104	"Sp"	"ML"	"nonsw"
"2158"	"A2158"	"BE_33"	"Block3"	"Stim25"	"S"	1	"ML"	2603	3.415474168	"Sp"	"ML"	"supsw"
"2159"	"A2159"	"BE_12"	"Block3"	"Stim09"	"S"	1	"ML"	534	2.727541257	"Sp"	"ML"	"nonsw"
"2161"	"A2161"	"BE_12"	"Block4"	"Stim01"	"CSES"	0	"ML"	15079	4.178372541	"Eng"	"CS"	"nonsw"
"2162"	"A2162"	"BE_33"	"Block4"	"Stim21"	"CSES"	1	"CS"	1123	3.050379756	"Eng"	"CS"	"supsw"
"2163"	"A2163"	"BE_12"	"Block4"	"Stim17"	"CSES"	0	"ML"	3429	3.535167485	"Eng"	"CS"	"nonsw"
"2164"	"A2164"	"BE_33"	"Block4"	"Stim26"	"CSES"	1	"CS"	4149	3.617943435	"Eng"	"CS"	"supsw"
"2165"	"A2165"	"BE_12"	"Block4"	"Stim02"	"CSES"	0	"ML"	845	2.926856709	"Eng"	"CS"	"nonsw"
"2166"	"A2166"	"BE_33"	"Block4"	"Stim28"	"CSES"	1	"CS"	1978	3.296226287	"Eng"	"CS"	"supsw"
"2167"	"A2167"	"BE_12"	"Block4"	"Stim21"	"CSES"	0	"ML"	4151	3.618152733	"Eng"	"CS"	"nonsw"
"2168"	"A2168"	"BE_33"	"Block4"	"Stim29"	"CSES"	1	"CS"	1053	3.022428371	"Eng"	"CS"	"supsw"
"2169"	"A2169"	"BE_12"	"Block4"	"Stim26"	"CSES"	0	"ML"	3998	3.60184279	"Eng"	"CS"	"nonsw"
"2170"	"A2170"	"BE_33"	"Block4"	"Stim03"	"CSES"	1	"CS"	843	2.925827575	"Eng"	"CS"	"supsw"
"2171"	"A2171"	"BE_12"	"Block4"	"Stim27"	"CSES"	0	"ML"	1670	3.222716471	"Eng"	"CS"	"nonsw"
"2172"	"A2172"	"BE_33"	"Block4"	"Stim01"	"CSES"	0	"ML"	2636	3.420945406	"Eng"	"CS"	"supsw"
"2173"	"A2173"	"BE_12"	"Block4"	"Stim28"	"CSES"	0	"ML"	3281	3.51600623	"Eng"	"CS"	"nonsw"
"2174"	"A2174"	"BE_33"	"Block4"	"Stim17"	"CSES"	0	"ML"	3310	3.519827994	"Eng"	"CS"	"supsw"
"2175"	"A2175"	"BE_12"	"Block4"	"Stim29"	"CSES"	0	"ML"	2966	3.472171147	"Eng"	"CS"	"nonsw"
"2176"	"A2176"	"BE_33"	"Block4"	"Stim02"	"CSES"	0	"ML"	1114	3.046885191	"Eng"	"CS"	"supsw"
"2177"	"A2177"	"BE_12"	"Block4"	"Stim03"	"CSES"	0	"ML"	8017	3.904011884	"Eng"	"CS"	"nonsw"
"2178"	"A2178"	"BE_33"	"Block4"	"Stim27"	"CSES"	0	"ML"	2948	3.469527479	"Eng"	"CS"	"supsw"
"2179"	"A2179"	"BE_12"	"Block4"	"Stim32"	"CSES"	1	"CS"	5246	3.719828286	"Eng"	"CS"	"nonsw"
"2180"	"A2180"	"BE_33"	"Block4"	"Stim32"	"CSES"	0	"ML"	3179	3.502290528	"Eng"	"CS"	"supsw"
"2181"	"A2181"	"BE_12"	"Block4"	"Stim13"	"CSSE"	0	"ML"	3772	3.576571684	"Sp"	"CS"	"nonsw"
"2182"	"A2182"	"BE_33"	"Block4"	"Stim23"	"CSSE"	1	"CS"	3211	3.506640306	"Sp"	"CS"	"supsw"
"2183"	"A2183"	"BE_12"	"Block4"	"Stim18"	"CSSE"	1	"CS"	2543	3.40534636	"Sp"	"CS"	"nonsw"
"2184"	"A2184"	"BE_33"	"Block4"	"Stim30"	"CSSE"	1	"CS"	4092	3.611935625	"Sp"	"CS"	"supsw"
"2185"	"A2185"	"BE_12"	"Block4"	"Stim22"	"CSSE"	0	"ML"	9989	3.999522013	"Sp"	"CS"	"nonsw"
"2186"	"A2186"	"BE_33"	"Block4"	"Stim13"	"CSSE"	0	"ML"	2061	3.314077992	"Sp"	"CS"	"supsw"
"2187"	"A2187"	"BE_12"	"Block4"	"Stim23"	"CSSE"	1	"CS"	3627	3.559547556	"Sp"	"CS"	"nonsw"
"2188"	"A2188"	"BE_33"	"Block4"	"Stim18"	"CSSE"	0	"ML"	914	2.960946196	"Sp"	"CS"	"supsw"
"2189"	"A2189"	"BE_12"	"Block4"	"Stim24"	"CSSE"	1	"CS"	2384	3.377306251	"Sp"	"CS"	"nonsw"
"2191"	"A2191"	"BE_12"	"Block4"	"Stim30"	"CSSE"	0	"ML"	2950	3.469822016	"Sp"	"CS"	"nonsw"
"2192"	"A2192"	"BE_33"	"Block4"	"Stim24"	"CSSE"	0	"ML"	2892	3.461198289	"Sp"	"CS"	"supsw"
"2193"	"A2193"	"BE_12"	"Block4"	"Stim36"	"CSSE"	1	"CS"	2570	3.409933123	"Sp"	"CS"	"nonsw"
"2194"	"A2194"	"BE_33"	"Block4"	"Stim36"	"CSSE"	0	"ML"	1829	3.262213705	"Sp"	"CS"	"supsw"
"2195"	"A2195"	"BE_12"	"Block4"	"Stim04"	"CSSE"	0	"ML"	1159	3.064083436	"Sp"	"CS"	"nonsw"
"2196"	"A2196"	"BE_33"	"Block4"	"Stim04"	"CSSE"	0	"ML"	2203	3.343014497	"Sp"	"CS"	"supsw"
"2197"	"A2197"	"BE_12"	"Block4"	"Stim05"	"CSSE"	0	"ML"	2119	3.326130957	"Sp"	"CS"	"nonsw"
"2198"	"A2198"	"BE_33"	"Block4"	"Stim05"	"CSSE"	0	"ML"	3142	3.497206181	"Sp"	"CS"	"supsw"
"2199"	"A2199"	"BE_12"	"Block4"	"Stim06"	"CSSE"	0	"ML"	1330	3.123851641	"Sp"	"CS"	"nonsw"
"2200"	"A2200"	"BE_33"	"Block4"	"Stim06"	"CSSE"	0	"ML"	1561	3.193402903	"Sp"	"CS"	"supsw"
"2201"	"A2201"	"BE_12"	"Block4"	"Stim14"	"E"	1	"ML"	1066	3.027757205	"Eng"	"ML"	"nonsw"
"2202"	"A2202"	"BE_33"	"Block4"	"Stim16"	"E"	0	"CS"	1401	3.146438135	"Eng"	"ML"	"supsw"
"2203"	"A2203"	"BE_12"	"Block4"	"Stim15"	"E"	1	"ML"	618	2.790988475	"Eng"	"ML"	"nonsw"
"2205"	"A2205"	"BE_12"	"Block4"	"Stim16"	"E"	1	"ML"	3661	3.563599729	"Eng"	"ML"	"nonsw"
"2207"	"A2207"	"BE_12"	"Block4"	"Stim33"	"E"	1	"ML"	2228	3.347915187	"Eng"	"ML"	"nonsw"
"2208"	"A2208"	"BE_33"	"Block4"	"Stim14"	"E"	1	"ML"	676	2.829946696	"Eng"	"ML"	"supsw"
"2209"	"A2209"	"BE_12"	"Block4"	"Stim34"	"E"	1	"ML"	1764	3.246498581	"Eng"	"ML"	"nonsw"
"2210"	"A2210"	"BE_33"	"Block4"	"Stim15"	"E"	1	"ML"	697	2.843232778	"Eng"	"ML"	"supsw"
"2211"	"A2211"	"BE_12"	"Block4"	"Stim35"	"E"	1	"ML"	2488	3.395850376	"Eng"	"ML"	"nonsw"
"2212"	"A2212"	"BE_33"	"Block4"	"Stim35"	"E"	1	"ML"	3158	3.499412126	"Eng"	"ML"	"supsw"
"2213"	"A2213"	"BE_12"	"Block4"	"Stim37"	"E"	1	"ML"	364	2.561101384	"Eng"	"ML"	"nonsw"
"2214"	"A2214"	"BE_33"	"Block4"	"Stim37"	"E"	1	"ML"	2669	3.426348574	"Eng"	"ML"	"supsw"
"2215"	"A2215"	"BE_12"	"Block4"	"Stim38"	"E"	1	"ML"	2084	3.318897715	"Eng"	"ML"	"nonsw"
"2216"	"A2216"	"BE_33"	"Block4"	"Stim38"	"E"	1	"ML"	1473	3.168202747	"Eng"	"ML"	"supsw"
"2217"	"A2217"	"BE_12"	"Block4"	"Stim39"	"E"	1	"ML"	1752	3.243534102	"Eng"	"ML"	"nonsw"
"2218"	"A2218"	"BE_33"	"Block4"	"Stim39"	"E"	1	"ML"	1473	3.168202747	"Eng"	"ML"	"supsw"
"2219"	"A2219"	"BE_12"	"Block4"	"Stim40"	"E"	1	"ML"	2557	3.407730728	"Eng"	"ML"	"nonsw"
"2220"	"A2220"	"BE_33"	"Block4"	"Stim40"	"E"	1	"ML"	2317	3.364926034	"Eng"	"ML"	"supsw"
"2221"	"A2221"	"BE_12"	"Block4"	"Stim10"	"S"	1	"ML"	904	2.95616843	"Sp"	"ML"	"nonsw"
"2222"	"A2222"	"BE_33"	"Block4"	"Stim10"	"S"	0	"CS"	11012	4.041866203	"Sp"	"ML"	"supsw"
"2223"	"A2223"	"BE_12"	"Block4"	"Stim11"	"S"	1	"ML"	4770	3.678518379	"Sp"	"ML"	"nonsw"
"2224"	"A2224"	"BE_33"	"Block4"	"Stim11"	"S"	0	"CS"	3610	3.557507202	"Sp"	"ML"	"supsw"
"2225"	"A2225"	"BE_12"	"Block4"	"Stim12"	"S"	0	"CS"	4539	3.656960183	"Sp"	"ML"	"nonsw"
"2226"	"A2226"	"BE_33"	"Block4"	"Stim12"	"S"	0	"CS"	854	2.931457871	"Sp"	"ML"	"supsw"
"2227"	"A2227"	"BE_12"	"Block4"	"Stim19"	"S"	1	"ML"	6862	3.836450714	"Sp"	"ML"	"nonsw"
"2228"	"A2228"	"BE_33"	"Block4"	"Stim25"	"S"	0	"CS"	1315	3.118925753	"Sp"	"ML"	"supsw"
"2229"	"A2229"	"BE_12"	"Block4"	"Stim20"	"S"	1	"ML"	1265	3.102090526	"Sp"	"ML"	"nonsw"
"2230"	"A2230"	"BE_33"	"Block4"	"Stim31"	"S"	0	"CS"	3155	3.498999364	"Sp"	"ML"	"supsw"
"2231"	"A2231"	"BE_12"	"Block4"	"Stim25"	"S"	1	"ML"	901	2.954724791	"Sp"	"ML"	"nonsw"
"2232"	"A2232"	"BE_33"	"Block4"	"Stim07"	"S"	0	"CS"	2634	3.420615771	"Sp"	"ML"	"supsw"
"2233"	"A2233"	"BE_12"	"Block4"	"Stim31"	"S"	0	"CS"	2466	3.391993072	"Sp"	"ML"	"nonsw"
"2234"	"A2234"	"BE_33"	"Block4"	"Stim08"	"S"	0	"CS"	2157	3.333850145	"Sp"	"ML"	"supsw"
"2235"	"A2235"	"BE_12"	"Block4"	"Stim07"	"S"	0	"CS"	1662	3.220631019	"Sp"	"ML"	"nonsw"
"2236"	"A2236"	"BE_33"	"Block4"	"Stim09"	"S"	0	"CS"	3463	3.539452492	"Sp"	"ML"	"supsw"
"2237"	"A2237"	"BE_12"	"Block4"	"Stim08"	"S"	0	"CS"	8607	3.934851803	"Sp"	"ML"	"nonsw"
"2238"	"A2238"	"BE_33"	"Block4"	"Stim19"	"S"	1	"ML"	1849	3.266936911	"Sp"	"ML"	"supsw"
"2239"	"A2239"	"BE_12"	"Block4"	"Stim09"	"S"	1	"ML"	2357	3.372359583	"Sp"	"ML"	"nonsw"
"2240"	"A2240"	"BE_33"	"Block4"	"Stim20"	"S"	1	"ML"	1389	3.142702246	"Sp"	"ML"	"supsw"
"2241"	"A2241"	"BE_13"	"Block1"	"Stim01"	"CSES"	0	"ML"	1633	3.212986185	"Eng"	"CS"	"nonsw"
"2242"	"A2242"	"BE_34"	"Block1"	"Stim17"	"CSES"	1	"CS"	527	2.721810615	"Eng"	"CS"	"supsw"
"2243"	"A2243"	"BE_13"	"Block1"	"Stim17"	"CSES"	0	"ML"	2385	3.377488383	"Eng"	"CS"	"nonsw"
"2244"	"A2244"	"BE_34"	"Block1"	"Stim02"	"CSES"	1	"CS"	4951	3.694692926	"Eng"	"CS"	"supsw"
"2245"	"A2245"	"BE_13"	"Block1"	"Stim02"	"CSES"	0	"ML"	1052	3.02201574	"Eng"	"CS"	"nonsw"
"2246"	"A2246"	"BE_34"	"Block1"	"Stim26"	"CSES"	1	"CS"	878	2.943494516	"Eng"	"CS"	"supsw"
"2247"	"A2247"	"BE_13"	"Block1"	"Stim21"	"CSES"	0	"ML"	1981	3.296884476	"Eng"	"CS"	"nonsw"
"2248"	"A2248"	"BE_34"	"Block1"	"Stim27"	"CSES"	1	"CS"	2884	3.459995256	"Eng"	"CS"	"supsw"
"2249"	"A2249"	"BE_13"	"Block1"	"Stim26"	"CSES"	1	"CS"	3610	3.557507202	"Eng"	"CS"	"nonsw"
"2250"	"A2250"	"BE_34"	"Block1"	"Stim28"	"CSES"	1	"CS"	967	2.985426474	"Eng"	"CS"	"supsw"
"2251"	"A2251"	"BE_13"	"Block1"	"Stim27"	"CSES"	0	"ML"	1467	3.166430114	"Eng"	"CS"	"nonsw"
"2252"	"A2252"	"BE_34"	"Block1"	"Stim29"	"CSES"	1	"CS"	1187	3.074450719	"Eng"	"CS"	"supsw"
"2253"	"A2253"	"BE_13"	"Block1"	"Stim28"	"CSES"	1	"CS"	3369	3.527501011	"Eng"	"CS"	"nonsw"
"2254"	"A2254"	"BE_34"	"Block1"	"Stim03"	"CSES"	1	"CS"	3361	3.526468512	"Eng"	"CS"	"supsw"
"2255"	"A2255"	"BE_13"	"Block1"	"Stim29"	"CSES"	0	"ML"	1779	3.250175948	"Eng"	"CS"	"nonsw"
"2256"	"A2256"	"BE_34"	"Block1"	"Stim32"	"CSES"	1	"CS"	3153	3.498723971	"Eng"	"CS"	"supsw"
"2257"	"A2257"	"BE_13"	"Block1"	"Stim03"	"CSES"	0	"ML"	1694	3.228913406	"Eng"	"CS"	"nonsw"
"2258"	"A2258"	"BE_34"	"Block1"	"Stim01"	"CSES"	0	"ML"	2936	3.467756051	"Eng"	"CS"	"supsw"
"2259"	"A2259"	"BE_13"	"Block1"	"Stim32"	"CSES"	1	"CS"	2045	3.310693312	"Eng"	"CS"	"nonsw"
"2260"	"A2260"	"BE_34"	"Block1"	"Stim21"	"CSES"	0	"ML"	5284	3.722962809	"Eng"	"CS"	"supsw"
"2261"	"A2261"	"BE_13"	"Block1"	"Stim13"	"CSSE"	0	"ML"	1403	3.147057671	"Sp"	"CS"	"nonsw"
"2262"	"A2262"	"BE_34"	"Block1"	"Stim13"	"CSSE"	1	"CS"	1441	3.158663981	"Sp"	"CS"	"supsw"
"2263"	"A2263"	"BE_13"	"Block1"	"Stim18"	"CSSE"	0	"ML"	1320	3.120573931	"Sp"	"CS"	"nonsw"
"2264"	"A2264"	"BE_34"	"Block1"	"Stim22"	"CSSE"	1	"CS"	1344	3.128399269	"Sp"	"CS"	"supsw"
"2265"	"A2265"	"BE_13"	"Block1"	"Stim22"	"CSSE"	0	"ML"	1430	3.155336037	"Sp"	"CS"	"nonsw"
"2266"	"A2266"	"BE_34"	"Block1"	"Stim23"	"CSSE"	1	"CS"	804	2.905256049	"Sp"	"CS"	"supsw"
"2267"	"A2267"	"BE_13"	"Block1"	"Stim23"	"CSSE"	0	"ML"	2453	3.389697548	"Sp"	"CS"	"nonsw"
"2268"	"A2268"	"BE_34"	"Block1"	"Stim24"	"CSSE"	1	"CS"	3864	3.587037118	"Sp"	"CS"	"supsw"
"2269"	"A2269"	"BE_13"	"Block1"	"Stim24"	"CSSE"	0	"ML"	2012	3.303627976	"Sp"	"CS"	"nonsw"
"2270"	"A2270"	"BE_34"	"Block1"	"Stim36"	"CSSE"	1	"CS"	791	2.898176483	"Sp"	"CS"	"supsw"
"2271"	"A2271"	"BE_13"	"Block1"	"Stim30"	"CSSE"	1	"CS"	2377	3.376029182	"Sp"	"CS"	"nonsw"
"2272"	"A2272"	"BE_34"	"Block1"	"Stim04"	"CSSE"	1	"CS"	1051	3.021602716	"Sp"	"CS"	"supsw"
"2273"	"A2273"	"BE_13"	"Block1"	"Stim36"	"CSSE"	0	"ML"	1891	3.276691529	"Sp"	"CS"	"nonsw"
"2274"	"A2274"	"BE_34"	"Block1"	"Stim05"	"CSSE"	1	"CS"	2978	3.473924693	"Sp"	"CS"	"supsw"
"2275"	"A2275"	"BE_13"	"Block1"	"Stim04"	"CSSE"	1	"CS"	1972	3.294906911	"Sp"	"CS"	"nonsw"
"2276"	"A2276"	"BE_34"	"Block1"	"Stim06"	"CSSE"	1	"CS"	1916	3.282395505	"Sp"	"CS"	"supsw"
"2277"	"A2277"	"BE_13"	"Block1"	"Stim05"	"CSSE"	0	"ML"	2103	3.322839273	"Sp"	"CS"	"nonsw"
"2278"	"A2278"	"BE_34"	"Block1"	"Stim18"	"CSSE"	0	"ML"	1347	3.129367596	"Sp"	"CS"	"supsw"
"2279"	"A2279"	"BE_13"	"Block1"	"Stim06"	"CSSE"	0	"ML"	2820	3.450249108	"Sp"	"CS"	"nonsw"
"2280"	"A2280"	"BE_34"	"Block1"	"Stim30"	"CSSE"	0	"ML"	2496	3.397244581	"Sp"	"CS"	"supsw"
"2281"	"A2281"	"BE_13"	"Block1"	"Stim14"	"E"	1	"ML"	2735	3.436957331	"Eng"	"ML"	"nonsw"
"2282"	"A2282"	"BE_34"	"Block1"	"Stim15"	"E"	0	"CS"	1027	3.011570444	"Eng"	"ML"	"supsw"
"2283"	"A2283"	"BE_13"	"Block1"	"Stim15"	"E"	0	"CS"	2663	3.425371166	"Eng"	"ML"	"nonsw"
"2284"	"A2284"	"BE_34"	"Block1"	"Stim16"	"E"	0	"CS"	3548	3.549983611	"Eng"	"ML"	"supsw"
"2285"	"A2285"	"BE_13"	"Block1"	"Stim16"	"E"	1	"ML"	1880	3.274157849	"Eng"	"ML"	"nonsw"
"2286"	"A2286"	"BE_34"	"Block1"	"Stim35"	"E"	0	"CS"	1304	3.115277591	"Eng"	"ML"	"supsw"
"2287"	"A2287"	"BE_13"	"Block1"	"Stim33"	"E"	1	"ML"	1422	3.152899596	"Eng"	"ML"	"nonsw"
"2288"	"A2288"	"BE_34"	"Block1"	"Stim37"	"E"	0	"CS"	1421	3.152594078	"Eng"	"ML"	"supsw"
"2289"	"A2289"	"BE_13"	"Block1"	"Stim34"	"E"	1	"ML"	1967	3.29380436	"Eng"	"ML"	"nonsw"
"2290"	"A2290"	"BE_34"	"Block1"	"Stim14"	"E"	1	"ML"	1853	3.267875419	"Eng"	"ML"	"supsw"
"2291"	"A2291"	"BE_13"	"Block1"	"Stim35"	"E"	1	"ML"	2890	3.460897843	"Eng"	"ML"	"nonsw"
"2292"	"A2292"	"BE_34"	"Block1"	"Stim33"	"E"	1	"ML"	1401	3.146438135	"Eng"	"ML"	"supsw"
"2293"	"A2293"	"BE_13"	"Block1"	"Stim37"	"E"	1	"ML"	1747	3.242292905	"Eng"	"ML"	"nonsw"
"2294"	"A2294"	"BE_34"	"Block1"	"Stim34"	"E"	1	"ML"	3423	3.534406899	"Eng"	"ML"	"supsw"
"2295"	"A2295"	"BE_13"	"Block1"	"Stim38"	"E"	1	"ML"	2889	3.460747542	"Eng"	"ML"	"nonsw"
"2296"	"A2296"	"BE_34"	"Block1"	"Stim38"	"E"	1	"ML"	5157	3.712397131	"Eng"	"ML"	"supsw"
"2297"	"A2297"	"BE_13"	"Block1"	"Stim39"	"E"	1	"ML"	2241	3.350441857	"Eng"	"ML"	"nonsw"
"2298"	"A2298"	"BE_34"	"Block1"	"Stim39"	"E"	1	"ML"	1021	3.009025742	"Eng"	"ML"	"supsw"
"2299"	"A2299"	"BE_13"	"Block1"	"Stim40"	"E"	1	"ML"	6144	3.788451207	"Eng"	"ML"	"nonsw"
"2300"	"A2300"	"BE_34"	"Block1"	"Stim40"	"E"	1	"ML"	677	2.830588669	"Eng"	"ML"	"supsw"
"2301"	"A2301"	"BE_13"	"Block1"	"Stim10"	"S"	1	"ML"	3520	3.546542663	"Sp"	"ML"	"nonsw"
"2302"	"A2302"	"BE_34"	"Block1"	"Stim10"	"S"	0	"CS"	801	2.903632516	"Sp"	"ML"	"supsw"
"2303"	"A2303"	"BE_13"	"Block1"	"Stim11"	"S"	1	"ML"	828	2.918030337	"Sp"	"ML"	"nonsw"
"2304"	"A2304"	"BE_34"	"Block1"	"Stim12"	"S"	0	"CS"	934	2.970346876	"Sp"	"ML"	"supsw"
"2305"	"A2305"	"BE_13"	"Block1"	"Stim12"	"S"	0	"CS"	2438	3.387033701	"Sp"	"ML"	"nonsw"
"2306"	"A2306"	"BE_34"	"Block1"	"Stim20"	"S"	0	"CS"	1176	3.070407322	"Sp"	"ML"	"supsw"
"2307"	"A2307"	"BE_13"	"Block1"	"Stim19"	"S"	1	"ML"	651	2.813580989	"Sp"	"ML"	"nonsw"
