Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context	Group
A3056	BE_29	Block1	Stim30	CSSE	1	CS	2571	Sp	CS	nonsw
A3060	BE_29	Block1	Stim06	CSSE	1	CS	3895	Sp	CS	nonsw
A3136	BE_29	Block3	Stim30	CSSE	1	CS	1957	Sp	CS	nonsw
A3173	BE_29	Block4	Stim22	CSSE	1	CS	490	Sp	CS	nonsw
A3174	BE_29	Block4	Stim23	CSSE	1	CS	1557	Sp	CS	nonsw
A3176	BE_29	Block4	Stim30	CSSE	1	CS	3065	Sp	CS	nonsw
A3211	BE_30	Block1	Stim13	CSSE	1	CS	3096	Sp	CS	nonsw
A3217	BE_30	Block1	Stim36	CSSE	1	CS	3969	Sp	CS	nonsw
A3257	BE_30	Block2	Stim36	CSSE	1	CS	798	Sp	CS	nonsw
A3453	BE_31	Block3	Stim22	CSSE	1	CS	1513	Sp	CS	nonsw
A3497	BE_31	Block4	Stim36	CSSE	1	CS	3618	Sp	CS	nonsw
A3532	BE_32	Block1	Stim18	CSSE	1	CS	1148	Sp	CS	nonsw
A3691	BE_35	Block1	Stim13	CSSE	1	CS	9269	Sp	CS	nonsw
A3692	BE_35	Block1	Stim18	CSSE	1	CS	4746	Sp	CS	nonsw
A3696	BE_35	Block1	Stim30	CSSE	1	CS	7874	Sp	CS	nonsw
A3697	BE_35	Block1	Stim36	CSSE	1	CS	2741	Sp	CS	nonsw
A3700	BE_35	Block1	Stim06	CSSE	1	CS	10228	Sp	CS	nonsw
A3735	BE_35	Block2	Stim24	CSSE	1	CS	2665	Sp	CS	nonsw
A3738	BE_35	Block2	Stim04	CSSE	1	CS	7351	Sp	CS	nonsw
A3776	BE_35	Block3	Stim30	CSSE	1	CS	7448	Sp	CS	nonsw
A3780	BE_35	Block3	Stim06	CSSE	1	CS	10536	Sp	CS	nonsw
A3814	BE_35	Block4	Stim23	CSSE	1	CS	8412	Sp	CS	nonsw
A3852	BE_37	Block1	Stim18	CSSE	1	CS	2419	Sp	CS	nonsw
A3856	BE_37	Block1	Stim30	CSSE	1	CS	720	Sp	CS	nonsw
A4019	BE_38	Block1	Stim05	CSSE	1	CS	1061	Sp	CS	nonsw
A4020	BE_38	Block1	Stim06	CSSE	1	CS	740	Sp	CS	nonsw
A4053	BE_38	Block2	Stim22	CSSE	1	CS	251	Sp	CS	nonsw
A4096	BE_38	Block3	Stim30	CSSE	1	CS	389	Sp	CS	nonsw
A4180	BE_41	Block1	Stim06	CSSE	1	CS	4666	Sp	CS	nonsw
A4217	BE_41	Block2	Stim36	CSSE	1	CS	1222	Sp	CS	nonsw
A4219	BE_41	Block2	Stim05	CSSE	1	CS	1946	Sp	CS	nonsw
A4252	BE_41	Block3	Stim18	CSSE	1	CS	3896	Sp	CS	nonsw
A4332	BE_43	Block1	Stim18	CSSE	1	CS	2743	Sp	CS	nonsw
A4333	BE_43	Block1	Stim22	CSSE	1	CS	1744	Sp	CS	nonsw
A4492	BE_44	Block1	Stim18	CSSE	1	CS	1790	Sp	CS	nonsw
A4497	BE_44	Block1	Stim36	CSSE	1	CS	2040	Sp	CS	nonsw
A4531	BE_44	Block2	Stim13	CSSE	1	CS	1076	Sp	CS	nonsw
A4533	BE_44	Block2	Stim22	CSSE	1	CS	3447	Sp	CS	nonsw
A4534	BE_44	Block2	Stim23	CSSE	1	CS	2126	Sp	CS	nonsw
A4537	BE_44	Block2	Stim36	CSSE	1	CS	510	Sp	CS	nonsw
A4571	BE_44	Block3	Stim13	CSSE	1	CS	4689	Sp	CS	nonsw
A4574	BE_44	Block3	Stim23	CSSE	1	CS	1549	Sp	CS	nonsw
A4576	BE_44	Block3	Stim30	CSSE	1	CS	810	Sp	CS	nonsw
A4577	BE_44	Block3	Stim36	CSSE	1	CS	672	Sp	CS	nonsw
A4613	BE_44	Block4	Stim22	CSSE	1	CS	567	Sp	CS	nonsw
A4614	BE_44	Block4	Stim23	CSSE	1	CS	1531	Sp	CS	nonsw
A4616	BE_44	Block4	Stim30	CSSE	1	CS	1109	Sp	CS	nonsw
A4617	BE_44	Block4	Stim36	CSSE	1	CS	357	Sp	CS	nonsw
A4653	BE_45	Block1	Stim22	CSSE	1	CS	323	Sp	CS	nonsw
A4655	BE_45	Block1	Stim24	CSSE	1	CS	481	Sp	CS	nonsw
A4691	BE_45	Block2	Stim13	CSSE	1	CS	1171	Sp	CS	nonsw
A4693	BE_45	Block2	Stim22	CSSE	1	CS	716	Sp	CS	nonsw
A4695	BE_45	Block2	Stim24	CSSE	1	CS	918	Sp	CS	nonsw
A4697	BE_45	Block2	Stim36	CSSE	1	CS	1255	Sp	CS	nonsw
A4734	BE_45	Block3	Stim23	CSSE	1	CS	1234	Sp	CS	nonsw
A4737	BE_45	Block3	Stim36	CSSE	1	CS	221	Sp	CS	nonsw
A4772	BE_45	Block4	Stim18	CSSE	1	CS	681	Sp	CS	nonsw
A4811	BE_46	Block1	Stim13	CSSE	1	CS	1567	Sp	CS	nonsw
A4814	BE_46	Block1	Stim23	CSSE	1	CS	661	Sp	CS	nonsw
A4818	BE_46	Block1	Stim04	CSSE	1	CS	1447	Sp	CS	nonsw
A4851	BE_46	Block2	Stim13	CSSE	1	CS	2598	Sp	CS	nonsw
A4891	BE_46	Block3	Stim13	CSSE	1	CS	1496	Sp	CS	nonsw
A4898	BE_46	Block3	Stim04	CSSE	1	CS	3385	Sp	CS	nonsw
A4899	BE_46	Block3	Stim05	CSSE	1	CS	838	Sp	CS	nonsw
A4937	BE_46	Block4	Stim36	CSSE	1	CS	307	Sp	CS	nonsw
A4938	BE_46	Block4	Stim04	CSSE	1	CS	711	Sp	CS	nonsw
A4971	BE_48	Block1	Stim13	CSSE	1	CS	2370	Sp	CS	nonsw
A4972	BE_48	Block1	Stim18	CSSE	1	CS	4219	Sp	CS	nonsw
A4974	BE_48	Block1	Stim23	CSSE	1	CS	1236	Sp	CS	nonsw
A4980	BE_48	Block1	Stim06	CSSE	1	CS	3044	Sp	CS	nonsw
A5053	BE_48	Block3	Stim22	CSSE	1	CS	807	Sp	CS	nonsw
A5056	BE_48	Block3	Stim30	CSSE	1	CS	2102	Sp	CS	nonsw
A5096	BE_48	Block4	Stim30	CSSE	1	CS	1285	Sp	CS	nonsw
A5131	BE_49	Block1	Stim13	CSSE	1	CS	1842	Sp	CS	nonsw
A5135	BE_49	Block1	Stim24	CSSE	1	CS	1984	Sp	CS	nonsw
A5173	BE_49	Block2	Stim22	CSSE	1	CS	390	Sp	CS	nonsw
A5174	BE_49	Block2	Stim23	CSSE	1	CS	1467	Sp	CS	nonsw
A5175	BE_49	Block2	Stim24	CSSE	1	CS	2019	Sp	CS	nonsw
A5177	BE_49	Block2	Stim36	CSSE	1	CS	3491	Sp	CS	nonsw
A5212	BE_49	Block3	Stim18	CSSE	1	CS	2931	Sp	CS	nonsw
A5213	BE_49	Block3	Stim22	CSSE	1	CS	1366	Sp	CS	nonsw
A5215	BE_49	Block3	Stim24	CSSE	1	CS	1753	Sp	CS	nonsw
A5253	BE_49	Block4	Stim22	CSSE	1	CS	239	Sp	CS	nonsw
A5254	BE_49	Block4	Stim23	CSSE	1	CS	2556	Sp	CS	nonsw
A5257	BE_49	Block4	Stim36	CSSE	1	CS	1773	Sp	CS	nonsw
A5291	BE_52	Block1	Stim13	CSSE	1	CS	1426	Sp	CS	nonsw
A5292	BE_52	Block1	Stim18	CSSE	1	CS	2203	Sp	CS	nonsw
A5293	BE_52	Block1	Stim22	CSSE	1	CS	2022	Sp	CS	nonsw
A5294	BE_52	Block1	Stim23	CSSE	1	CS	2064	Sp	CS	nonsw
A5298	BE_52	Block1	Stim04	CSSE	1	CS	579	Sp	CS	nonsw
A5299	BE_52	Block1	Stim05	CSSE	1	CS	1399	Sp	CS	nonsw
A5300	BE_52	Block1	Stim06	CSSE	1	CS	2587	Sp	CS	nonsw
A5331	BE_52	Block2	Stim13	CSSE	1	CS	599	Sp	CS	nonsw
A5332	BE_52	Block2	Stim18	CSSE	1	CS	2724	Sp	CS	nonsw
A5371	BE_52	Block3	Stim13	CSSE	1	CS	395	Sp	CS	nonsw
A5372	BE_52	Block3	Stim18	CSSE	1	CS	811	Sp	CS	nonsw
A5411	BE_52	Block4	Stim13	CSSE	1	CS	1243	Sp	CS	nonsw
A5412	BE_52	Block4	Stim18	CSSE	1	CS	547	Sp	CS	nonsw
A5453	BE_54	Block1	Stim22	CSSE	1	CS	396	Sp	CS	nonsw
A5497	BE_54	Block2	Stim36	CSSE	1	CS	459	Sp	CS	nonsw
A5612	BE_55	Block1	Stim18	CSSE	1	CS	615	Sp	CS	nonsw
A5615	BE_55	Block1	Stim24	CSSE	1	CS	1318	Sp	CS	nonsw
A5617	BE_55	Block1	Stim36	CSSE	1	CS	1073	Sp	CS	nonsw
A5651	BE_55	Block2	Stim13	CSSE	1	CS	1680	Sp	CS	nonsw
A5691	BE_55	Block3	Stim13	CSSE	1	CS	2361	Sp	CS	nonsw
A5695	BE_55	Block3	Stim24	CSSE	1	CS	873	Sp	CS	nonsw
A5735	BE_55	Block4	Stim24	CSSE	1	CS	1082	Sp	CS	nonsw
A5854	BE_56	Block3	Stim23	CSSE	1	CS	1156	Sp	CS	nonsw
A5856	BE_56	Block3	Stim30	CSSE	1	CS	995	Sp	CS	nonsw
A5893	BE_56	Block4	Stim22	CSSE	1	CS	1630	Sp	CS	nonsw
A5900	BE_56	Block4	Stim06	CSSE	1	CS	367	Sp	CS	nonsw
A5932	BE_57	Block1	Stim18	CSSE	1	CS	2419	Sp	CS	nonsw
A5972	BE_57	Block2	Stim18	CSSE	1	CS	1526	Sp	CS	nonsw
A6012	BE_57	Block3	Stim18	CSSE	1	CS	1337	Sp	CS	nonsw
A6093	BE_58	Block1	Stim22	CSSE	1	CS	2663	Sp	CS	nonsw
A6096	BE_58	Block1	Stim30	CSSE	1	CS	3368	Sp	CS	nonsw
A6098	BE_58	Block1	Stim04	CSSE	1	CS	3458	Sp	CS	nonsw
A6132	BE_58	Block2	Stim18	CSSE	1	CS	1407	Sp	CS	nonsw
A6136	BE_58	Block2	Stim30	CSSE	1	CS	3408	Sp	CS	nonsw
A6176	BE_58	Block3	Stim30	CSSE	1	CS	2353	Sp	CS	nonsw
A6212	BE_58	Block4	Stim18	CSSE	1	CS	2174	Sp	CS	nonsw
A6216	BE_58	Block4	Stim30	CSSE	1	CS	3570	Sp	CS	nonsw
A6217	BE_58	Block4	Stim36	CSSE	1	CS	1091	Sp	CS	nonsw
A6218	BE_58	Block4	Stim04	CSSE	1	CS	3433	Sp	CS	nonsw
A6251	BE_60	Block1	Stim13	CSSE	1	CS	4001	Sp	CS	nonsw
A6258	BE_60	Block1	Stim04	CSSE	1	CS	3843	Sp	CS	nonsw
A6331	BE_60	Block3	Stim13	CSSE	1	CS	4483	Sp	CS	nonsw
A6374	BE_60	Block4	Stim23	CSSE	1	CS	1847	Sp	CS	nonsw
A6412	BE_64	Block1	Stim18	CSSE	1	CS	1701	Sp	CS	nonsw
A6454	BE_64	Block2	Stim23	CSSE	1	CS	270	Sp	CS	nonsw
A6456	BE_64	Block2	Stim30	CSSE	1	CS	2554	Sp	CS	nonsw
A6532	BE_64	Block4	Stim18	CSSE	1	CS	369	Sp	CS	nonsw
A6572	BE_65	Block1	Stim18	CSSE	1	CS	1104	Sp	CS	nonsw
A6577	BE_65	Block1	Stim36	CSSE	1	CS	3795	Sp	CS	nonsw
A6611	BE_65	Block2	Stim13	CSSE	1	CS	974	Sp	CS	nonsw
A6613	BE_65	Block2	Stim22	CSSE	1	CS	2502	Sp	CS	nonsw
A6618	BE_65	Block2	Stim04	CSSE	1	CS	391	Sp	CS	nonsw
A6620	BE_65	Block2	Stim06	CSSE	1	CS	1786	Sp	CS	nonsw
A6651	BE_65	Block3	Stim13	CSSE	1	CS	3008	Sp	CS	nonsw
A6652	BE_65	Block3	Stim18	CSSE	1	CS	2025	Sp	CS	nonsw
A6657	BE_65	Block3	Stim36	CSSE	1	CS	2499	Sp	CS	nonsw
A6691	BE_65	Block4	Stim13	CSSE	1	CS	3932	Sp	CS	nonsw
A6692	BE_65	Block4	Stim18	CSSE	1	CS	710	Sp	CS	nonsw
A6693	BE_65	Block4	Stim22	CSSE	1	CS	2256	Sp	CS	nonsw
A6694	BE_65	Block4	Stim23	CSSE	1	CS	565	Sp	CS	nonsw
A6698	BE_65	Block4	Stim04	CSSE	1	CS	1103	Sp	CS	nonsw
A6699	BE_65	Block4	Stim05	CSSE	1	CS	2870	Sp	CS	nonsw
A6700	BE_65	Block4	Stim06	CSSE	1	CS	841	Sp	CS	nonsw
A6851	BE_66	Block4	Stim13	CSSE	1	CS	4092	Sp	CS	nonsw
A6857	BE_66	Block4	Stim36	CSSE	1	CS	722	Sp	CS	nonsw
A6892	BE_67	Block1	Stim18	CSSE	1	CS	2095	Sp	CS	nonsw
A7136	BE_69	Block3	Stim30	CSSE	1	CS	1741	Sp	CS	nonsw
A7140	BE_69	Block3	Stim06	CSSE	1	CS	626	Sp	CS	nonsw
A7214	BE_70	Block1	Stim23	CSSE	1	CS	500	Sp	CS	nonsw
A7291	BE_70	Block3	Stim13	CSSE	1	CS	672	Sp	CS	nonsw
A7335	BE_70	Block4	Stim24	CSSE	1	CS	2027	Sp	CS	nonsw
A7371	BE_71	Block1	Stim13	CSSE	1	CS	1436	Sp	CS	nonsw
A7453	BE_71	Block3	Stim22	CSSE	1	CS	860	Sp	CS	nonsw
A7572	BE_72	Block2	Stim18	CSSE	1	CS	1946	Sp	CS	nonsw
A7652	BE_72	Block4	Stim18	CSSE	1	CS	2384	Sp	CS	nonsw
A7658	BE_72	Block4	Stim04	CSSE	1	CS	805	Sp	CS	nonsw
A7691	BE_74	Block1	Stim13	CSSE	1	CS	4203	Sp	CS	nonsw
A7692	BE_74	Block1	Stim18	CSSE	1	CS	1819	Sp	CS	nonsw
A7695	BE_74	Block1	Stim24	CSSE	1	CS	3011	Sp	CS	nonsw
A7854	BE_75	Block1	Stim23	CSSE	1	CS	2769	Sp	CS	nonsw
A7856	BE_75	Block1	Stim30	CSSE	1	CS	591	Sp	CS	nonsw
A7894	BE_75	Block2	Stim23	CSSE	1	CS	1439	Sp	CS	nonsw
A7935	BE_75	Block3	Stim24	CSSE	1	CS	860	Sp	CS	nonsw
A7940	BE_75	Block3	Stim06	CSSE	1	CS	1268	Sp	CS	nonsw
A7971	BE_75	Block4	Stim13	CSSE	1	CS	3215	Sp	CS	nonsw
A7979	BE_75	Block4	Stim05	CSSE	1	CS	1681	Sp	CS	nonsw
A8053	BE_76	Block2	Stim22	CSSE	1	CS	2135	Sp	CS	nonsw
A8098	BE_76	Block3	Stim04	CSSE	1	CS	875	Sp	CS	nonsw
A8137	BE_76	Block4	Stim36	CSSE	1	CS	2141	Sp	CS	nonsw
A8293	BE_77	Block4	Stim22	CSSE	1	CS	412	Sp	CS	nonsw
A8332	BE_80	Block1	Stim18	CSSE	1	CS	2692	Sp	CS	nonsw
A8492	BE_82	Block1	Stim18	CSSE	1	CS	2060	Sp	CS	nonsw
A8495	BE_82	Block1	Stim24	CSSE	1	CS	8446	Sp	CS	nonsw
A8496	BE_82	Block1	Stim30	CSSE	1	CS	3823	Sp	CS	nonsw
A8498	BE_82	Block1	Stim04	CSSE	1	CS	3548	Sp	CS	nonsw
A8499	BE_82	Block1	Stim05	CSSE	1	CS	2348	Sp	CS	nonsw
A8500	BE_82	Block1	Stim06	CSSE	1	CS	6237	Sp	CS	nonsw
A8533	BE_82	Block2	Stim22	CSSE	1	CS	659	Sp	CS	nonsw
A8571	BE_82	Block3	Stim13	CSSE	1	CS	465	Sp	CS	nonsw
A8611	BE_82	Block4	Stim13	CSSE	1	CS	333	Sp	CS	nonsw
A8616	BE_82	Block4	Stim30	CSSE	1	CS	4839	Sp	CS	nonsw
A8617	BE_82	Block4	Stim36	CSSE	1	CS	225	Sp	CS	nonsw
A8652	BE_84 	Block1	Stim18	CSSE	1	CS	3992	Sp	CS	nonsw
A8654	BE_84 	Block1	Stim23	CSSE	1	CS	807	Sp	CS	nonsw
A8694	BE_84 	Block2	Stim23	CSSE	1	CS	4219	Sp	CS	nonsw
A8696	BE_84 	Block2	Stim30	CSSE	1	CS	2855	Sp	CS	nonsw
A8699	BE_84 	Block2	Stim05	CSSE	1	CS	944	Sp	CS	nonsw
A8731	BE_84 	Block3	Stim13	CSSE	1	CS	1630	Sp	CS	nonsw
A8733	BE_84 	Block3	Stim22	CSSE	1	CS	1427	Sp	CS	nonsw
A8734	BE_84 	Block3	Stim23	CSSE	1	CS	1876	Sp	CS	nonsw
A8739	BE_84 	Block3	Stim05	CSSE	1	CS	472	Sp	CS	nonsw
A8740	BE_84 	Block3	Stim06	CSSE	1	CS	1906	Sp	CS	nonsw
A8773	BE_84 	Block4	Stim22	CSSE	1	CS	675	Sp	CS	nonsw
A8776	BE_84 	Block4	Stim30	CSSE	1	CS	508	Sp	CS	nonsw
A11	BE_03	Block1	Stim13	CSSE	0	ML	2485	Sp	CS	nonsw
A12	BE_03	Block1	Stim18	CSSE	0	ML	2701	Sp	CS	nonsw
A14	BE_03	Block1	Stim23	CSSE	0	ML	3668	Sp	CS	nonsw
A16	BE_03	Block1	Stim30	CSSE	0	ML	1225	Sp	CS	nonsw
A17	BE_03	Block1	Stim36	CSSE	0	ML	1052	Sp	CS	nonsw
A18	BE_03	Block1	Stim04	CSSE	0	ML	1494	Sp	CS	nonsw
A19	BE_03	Block1	Stim05	CSSE	0	ML	1356	Sp	CS	nonsw
A20	BE_03	Block1	Stim06	CSSE	0	ML	402	Sp	CS	nonsw
A51	BE_03	Block2	Stim13	CSSE	0	ML	1670	Sp	CS	nonsw
A52	BE_03	Block2	Stim18	CSSE	0	ML	1718	Sp	CS	nonsw
A53	BE_03	Block2	Stim22	CSSE	0	ML	941	Sp	CS	nonsw
A54	BE_03	Block2	Stim23	CSSE	0	ML	302	Sp	CS	nonsw
A55	BE_03	Block2	Stim24	CSSE	0	ML	784	Sp	CS	nonsw
A56	BE_03	Block2	Stim30	CSSE	0	ML	1746	Sp	CS	nonsw
A57	BE_03	Block2	Stim36	CSSE	0	ML	1003	Sp	CS	nonsw
A59	BE_03	Block2	Stim05	CSSE	0	ML	406	Sp	CS	nonsw
A60	BE_03	Block2	Stim06	CSSE	0	ML	364	Sp	CS	nonsw
A91	BE_03	Block3	Stim13	CSSE	0	ML	1231	Sp	CS	nonsw
A92	BE_03	Block3	Stim18	CSSE	0	ML	282	Sp	CS	nonsw
A94	BE_03	Block3	Stim23	CSSE	0	ML	274	Sp	CS	nonsw
A95	BE_03	Block3	Stim24	CSSE	0	ML	372	Sp	CS	nonsw
A96	BE_03	Block3	Stim30	CSSE	0	ML	889	Sp	CS	nonsw
A97	BE_03	Block3	Stim36	CSSE	0	ML	328	Sp	CS	nonsw
A98	BE_03	Block3	Stim04	CSSE	0	ML	1439	Sp	CS	nonsw
A99	BE_03	Block3	Stim05	CSSE	0	ML	560	Sp	CS	nonsw
A100	BE_03	Block3	Stim06	CSSE	0	ML	467	Sp	CS	nonsw
A131	BE_03	Block4	Stim13	CSSE	0	ML	340	Sp	CS	nonsw
A132	BE_03	Block4	Stim18	CSSE	0	ML	413	Sp	CS	nonsw
A133	BE_03	Block4	Stim22	CSSE	0	ML	306	Sp	CS	nonsw
A134	BE_03	Block4	Stim23	CSSE	0	ML	212	Sp	CS	nonsw
A135	BE_03	Block4	Stim24	CSSE	0	ML	552	Sp	CS	nonsw
A136	BE_03	Block4	Stim30	CSSE	0	ML	486	Sp	CS	nonsw
A137	BE_03	Block4	Stim36	CSSE	0	ML	900	Sp	CS	nonsw
A138	BE_03	Block4	Stim04	CSSE	0	ML	247	Sp	CS	nonsw
A139	BE_03	Block4	Stim05	CSSE	0	ML	271	Sp	CS	nonsw
A140	BE_03	Block4	Stim06	CSSE	0	ML	241	Sp	CS	nonsw
A172	BE_04	Block1	Stim18	CSSE	0	ML	496	Sp	CS	nonsw
A173	BE_04	Block1	Stim22	CSSE	0	ML	1202	Sp	CS	nonsw
A174	BE_04	Block1	Stim23	CSSE	0	ML	517	Sp	CS	nonsw
A175	BE_04	Block1	Stim24	CSSE	0	ML	688	Sp	CS	nonsw
A176	BE_04	Block1	Stim30	CSSE	0	ML	2172	Sp	CS	nonsw
A177	BE_04	Block1	Stim36	CSSE	0	ML	1303	Sp	CS	nonsw
A178	BE_04	Block1	Stim04	CSSE	0	ML	639	Sp	CS	nonsw
A179	BE_04	Block1	Stim05	CSSE	0	ML	1062	Sp	CS	nonsw
A180	BE_04	Block1	Stim06	CSSE	0	ML	297	Sp	CS	nonsw
A211	BE_04	Block2	Stim13	CSSE	0	ML	1222	Sp	CS	nonsw
A212	BE_04	Block2	Stim18	CSSE	0	ML	1395	Sp	CS	nonsw
A213	BE_04	Block2	Stim22	CSSE	0	ML	641	Sp	CS	nonsw
A214	BE_04	Block2	Stim23	CSSE	0	ML	1324	Sp	CS	nonsw
A215	BE_04	Block2	Stim24	CSSE	0	ML	750	Sp	CS	nonsw
A216	BE_04	Block2	Stim30	CSSE	0	ML	2476	Sp	CS	nonsw
A217	BE_04	Block2	Stim36	CSSE	0	ML	702	Sp	CS	nonsw
A218	BE_04	Block2	Stim04	CSSE	0	ML	492	Sp	CS	nonsw
A219	BE_04	Block2	Stim05	CSSE	0	ML	858	Sp	CS	nonsw
A220	BE_04	Block2	Stim06	CSSE	0	ML	656	Sp	CS	nonsw
A251	BE_04	Block3	Stim13	CSSE	0	ML	1209	Sp	CS	nonsw
A252	BE_04	Block3	Stim18	CSSE	0	ML	472	Sp	CS	nonsw
A253	BE_04	Block3	Stim22	CSSE	0	ML	684	Sp	CS	nonsw
A254	BE_04	Block3	Stim23	CSSE	0	ML	1206	Sp	CS	nonsw
A255	BE_04	Block3	Stim24	CSSE	0	ML	626	Sp	CS	nonsw
A256	BE_04	Block3	Stim30	CSSE	0	ML	861	Sp	CS	nonsw
A257	BE_04	Block3	Stim36	CSSE	0	ML	36	Sp	CS	nonsw
A258	BE_04	Block3	Stim04	CSSE	0	ML	375	Sp	CS	nonsw
A259	BE_04	Block3	Stim05	CSSE	0	ML	653	Sp	CS	nonsw
A260	BE_04	Block3	Stim06	CSSE	0	ML	227	Sp	CS	nonsw
A291	BE_04	Block4	Stim13	CSSE	0	ML	1796	Sp	CS	nonsw
A292	BE_04	Block4	Stim18	CSSE	0	ML	624	Sp	CS	nonsw
A293	BE_04	Block4	Stim22	CSSE	0	ML	1239	Sp	CS	nonsw
A294	BE_04	Block4	Stim23	CSSE	0	ML	1707	Sp	CS	nonsw
A295	BE_04	Block4	Stim24	CSSE	0	ML	322	Sp	CS	nonsw
A297	BE_04	Block4	Stim36	CSSE	0	ML	230	Sp	CS	nonsw
A298	BE_04	Block4	Stim04	CSSE	0	ML	1695	Sp	CS	nonsw
A299	BE_04	Block4	Stim05	CSSE	0	ML	1113	Sp	CS	nonsw
A300	BE_04	Block4	Stim06	CSSE	0	ML	338	Sp	CS	nonsw
A331	BE_05	Block1	Stim13	CSSE	0	ML	491	Sp	CS	nonsw
A332	BE_05	Block1	Stim18	CSSE	0	ML	951	Sp	CS	nonsw
A333	BE_05	Block1	Stim22	CSSE	0	ML	401	Sp	CS	nonsw
A334	BE_05	Block1	Stim23	CSSE	0	ML	730	Sp	CS	nonsw
A336	BE_05	Block1	Stim30	CSSE	0	ML	1590	Sp	CS	nonsw
A337	BE_05	Block1	Stim36	CSSE	0	ML	357	Sp	CS	nonsw
A338	BE_05	Block1	Stim04	CSSE	0	ML	626	Sp	CS	nonsw
A340	BE_05	Block1	Stim06	CSSE	0	ML	1598	Sp	CS	nonsw
A372	BE_05	Block2	Stim18	CSSE	0	ML	1044	Sp	CS	nonsw
A373	BE_05	Block2	Stim22	CSSE	0	ML	3827	Sp	CS	nonsw
A374	BE_05	Block2	Stim23	CSSE	0	ML	2221	Sp	CS	nonsw
A375	BE_05	Block2	Stim24	CSSE	0	ML	579	Sp	CS	nonsw
A376	BE_05	Block2	Stim30	CSSE	0	ML	691	Sp	CS	nonsw
A377	BE_05	Block2	Stim36	CSSE	0	ML	335	Sp	CS	nonsw
A378	BE_05	Block2	Stim04	CSSE	0	ML	3763	Sp	CS	nonsw
A379	BE_05	Block2	Stim05	CSSE	0	ML	904	Sp	CS	nonsw
A380	BE_05	Block2	Stim06	CSSE	0	ML	688	Sp	CS	nonsw
A411	BE_05	Block3	Stim13	CSSE	0	ML	11510	Sp	CS	nonsw
A412	BE_05	Block3	Stim18	CSSE	0	ML	4915	Sp	CS	nonsw
A413	BE_05	Block3	Stim22	CSSE	0	ML	901	Sp	CS	nonsw
A414	BE_05	Block3	Stim23	CSSE	0	ML	288	Sp	CS	nonsw
A415	BE_05	Block3	Stim24	CSSE	0	ML	320	Sp	CS	nonsw
A416	BE_05	Block3	Stim30	CSSE	0	ML	1399	Sp	CS	nonsw
A417	BE_05	Block3	Stim36	CSSE	0	ML	620	Sp	CS	nonsw
A418	BE_05	Block3	Stim04	CSSE	0	ML	3945	Sp	CS	nonsw
A419	BE_05	Block3	Stim05	CSSE	0	ML	634	Sp	CS	nonsw
A420	BE_05	Block3	Stim06	CSSE	0	ML	4718	Sp	CS	nonsw
A451	BE_05	Block4	Stim13	CSSE	0	ML	2541	Sp	CS	nonsw
A452	BE_05	Block4	Stim18	CSSE	0	ML	265	Sp	CS	nonsw
A453	BE_05	Block4	Stim22	CSSE	0	ML	1031	Sp	CS	nonsw
A454	BE_05	Block4	Stim23	CSSE	0	ML	314	Sp	CS	nonsw
A455	BE_05	Block4	Stim24	CSSE	0	ML	271	Sp	CS	nonsw
A456	BE_05	Block4	Stim30	CSSE	0	ML	1219	Sp	CS	nonsw
A457	BE_05	Block4	Stim36	CSSE	0	ML	292	Sp	CS	nonsw
A458	BE_05	Block4	Stim04	CSSE	0	ML	323	Sp	CS	nonsw
A459	BE_05	Block4	Stim05	CSSE	0	ML	309	Sp	CS	nonsw
A460	BE_05	Block4	Stim06	CSSE	0	ML	444	Sp	CS	nonsw
A491	BE_08	Block1	Stim13	CSSE	0	ML	776	Sp	CS	nonsw
A493	BE_08	Block1	Stim22	CSSE	0	ML	999	Sp	CS	nonsw
A495	BE_08	Block1	Stim24	CSSE	0	ML	883	Sp	CS	nonsw
A497	BE_08	Block1	Stim36	CSSE	0	ML	394	Sp	CS	nonsw
A498	BE_08	Block1	Stim04	CSSE	0	ML	417	Sp	CS	nonsw
A499	BE_08	Block1	Stim05	CSSE	0	ML	456	Sp	CS	nonsw
A500	BE_08	Block1	Stim06	CSSE	0	ML	1155	Sp	CS	nonsw
A532	BE_08	Block2	Stim18	CSSE	0	ML	694	Sp	CS	nonsw
A533	BE_08	Block2	Stim22	CSSE	0	ML	338	Sp	CS	nonsw
A534	BE_08	Block2	Stim23	CSSE	0	ML	716	Sp	CS	nonsw
A535	BE_08	Block2	Stim24	CSSE	0	ML	780	Sp	CS	nonsw
A536	BE_08	Block2	Stim30	CSSE	0	ML	442	Sp	CS	nonsw
A537	BE_08	Block2	Stim36	CSSE	0	ML	345	Sp	CS	nonsw
A538	BE_08	Block2	Stim04	CSSE	0	ML	360	Sp	CS	nonsw
A539	BE_08	Block2	Stim05	CSSE	0	ML	325	Sp	CS	nonsw
A540	BE_08	Block2	Stim06	CSSE	0	ML	293	Sp	CS	nonsw
A571	BE_08	Block3	Stim13	CSSE	0	ML	334	Sp	CS	nonsw
A572	BE_08	Block3	Stim18	CSSE	0	ML	971	Sp	CS	nonsw
A573	BE_08	Block3	Stim22	CSSE	0	ML	194	Sp	CS	nonsw
A574	BE_08	Block3	Stim23	CSSE	0	ML	298	Sp	CS	nonsw
