Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context	Group
A3687	BE_35	Block1	Stim28	CSES	1	CS	3163	Eng	CS	nonsw
A3727	BE_35	Block2	Stim28	CSES	1	CS	1827	Eng	CS	nonsw
A3728	BE_35	Block2	Stim29	CSES	1	CS	2902	Eng	CS	nonsw
A3881	BE_37	Block2	Stim01	CSES	1	CS	1550	Eng	CS	nonsw
A3963	BE_37	Block4	Stim02	CSES	1	CS	2741	Eng	CS	nonsw
A4168	BE_41	Block1	Stim29	CSES	1	CS	4996	Eng	CS	nonsw
A4327	BE_43	Block1	Stim28	CSES	1	CS	683	Eng	CS	nonsw
A4405	BE_43	Block3	Stim26	CSES	1	CS	733	Eng	CS	nonsw
A4482	BE_44	Block1	Stim17	CSES	1	CS	316	Eng	CS	nonsw
A4483	BE_44	Block1	Stim02	CSES	1	CS	2047	Eng	CS	nonsw
A4523	BE_44	Block2	Stim02	CSES	1	CS	2731	Eng	CS	nonsw
A4527	BE_44	Block2	Stim28	CSES	1	CS	1639	Eng	CS	nonsw
A4603	BE_44	Block4	Stim02	CSES	1	CS	909	Eng	CS	nonsw
A4608	BE_44	Block4	Stim29	CSES	1	CS	1070	Eng	CS	nonsw
A4643	BE_45	Block1	Stim02	CSES	1	CS	748	Eng	CS	nonsw
A4801	BE_46	Block1	Stim01	CSES	1	CS	1426	Eng	CS	nonsw
A4809	BE_46	Block1	Stim03	CSES	1	CS	1555	Eng	CS	nonsw
A4849	BE_46	Block2	Stim03	CSES	1	CS	295	Eng	CS	nonsw
A4889	BE_46	Block3	Stim03	CSES	1	CS	283	Eng	CS	nonsw
A4929	BE_46	Block4	Stim03	CSES	1	CS	213	Eng	CS	nonsw
A5126	BE_49	Block1	Stim27	CSES	1	CS	3110	Eng	CS	nonsw
A5129	BE_49	Block1	Stim03	CSES	1	CS	2071	Eng	CS	nonsw
A5166	BE_49	Block2	Stim27	CSES	1	CS	2600	Eng	CS	nonsw
A5169	BE_49	Block2	Stim03	CSES	1	CS	1061	Eng	CS	nonsw
A5206	BE_49	Block3	Stim27	CSES	1	CS	280	Eng	CS	nonsw
A5207	BE_49	Block3	Stim28	CSES	1	CS	847	Eng	CS	nonsw
A5209	BE_49	Block3	Stim03	CSES	1	CS	301	Eng	CS	nonsw
A5246	BE_49	Block4	Stim27	CSES	1	CS	1136	Eng	CS	nonsw
A5249	BE_49	Block4	Stim03	CSES	1	CS	1917	Eng	CS	nonsw
A5282	BE_52	Block1	Stim17	CSES	1	CS	1649	Eng	CS	nonsw
