Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A1843	BE_40	Block3	Stim28	CSES	Spanish	m	Spanish	CS	1431	Eng	CS
A1844	BE_40	Block3	Stim29	CSES	Spanish	m	Spanish	CS	3924	Eng	CS
A1845	BE_40	Block3	Stim03	CSES	Spanish	m	Spanish	CS	439	Eng	CS
A1846	BE_40	Block3	Stim32	CSES	Spanish	m	Spanish	CS	2178	Eng	CS
A1881	BE_40	Block4	Stim21	CSES	Spanish	m	Spanish	CS	1317	Eng	CS
A1882	BE_40	Block4	Stim26	CSES	Spanish	m	Spanish	CS	2489	Eng	CS
A1883	BE_40	Block4	Stim27	CSES	Spanish	m	Spanish	CS	349	Eng	CS
A1884	BE_40	Block4	Stim29	CSES	Spanish	m	Spanish	CS	1138	Eng	CS
A1885	BE_40	Block4	Stim03	CSES	Spanish	m	Spanish	CS	833	Eng	CS
A2081	BE_47	Block1	Stim28	CSES	Spanish	z	Spanish	CS	1457	Eng	CS
A2121	BE_47	Block2	Stim21	CSES	Spanish	z	Spanish	CS	948	Eng	CS
A2122	BE_47	Block2	Stim28	CSES	Spanish	z	Spanish	CS	4094	Eng	CS
A2123	BE_47	Block2	Stim29	CSES	Spanish	z	Spanish	CS	904	Eng	CS
A2161	BE_47	Block3	Stim17	CSES	Spanish	z	Spanish	CS	1318	Eng	CS
A2162	BE_47	Block3	Stim21	CSES	Spanish	z	Spanish	CS	774	Eng	CS
A2163	BE_47	Block3	Stim26	CSES	Spanish	z	Spanish	CS	467	Eng	CS
A2164	BE_47	Block3	Stim28	CSES	Spanish	z	Spanish	CS	3332	Eng	CS
A2165	BE_47	Block3	Stim29	CSES	Spanish	z	Spanish	CS	1367	Eng	CS
A2201	BE_47	Block4	Stim28	CSES	Spanish	z	Spanish	CS	1256	Eng	CS
A2202	BE_47	Block4	Stim29	CSES	Spanish	z	Spanish	CS	1673	Eng	CS
A2721	BE_59	Block1	Stim27	CSES	Spanish	z	Spanish	CS	1324	Eng	CS
A2722	BE_59	Block1	Stim28	CSES	Spanish	z	Spanish	CS	3229	Eng	CS
A2723	BE_59	Block1	Stim29	CSES	Spanish	z	Spanish	CS	1570	Eng	CS
A2724	BE_59	Block1	Stim03	CSES	Spanish	z	Spanish	CS	2999	Eng	CS
A2725	BE_59	Block1	Stim32	CSES	Spanish	z	Spanish	CS	1974	Eng	CS
A2761	BE_59	Block2	Stim27	CSES	Spanish	z	Spanish	CS	2827	Eng	CS
A2762	BE_59	Block2	Stim28	CSES	Spanish	z	Spanish	CS	1305	Eng	CS
A2801	BE_59	Block3	Stim28	CSES	Spanish	z	Spanish	CS	1558	Eng	CS
A2802	BE_59	Block3	Stim29	CSES	Spanish	z	Spanish	CS	1829	Eng	CS
A2841	BE_59	Block4	Stim26	CSES	Spanish	z	Spanish	CS	1478	Eng	CS
A2881	BE_61	Block1	Stim27	CSES	Spanish	z	Spanish	CS	2719	Eng	CS
A2882	BE_61	Block1	Stim32	CSES	Spanish	z	Spanish	CS	3201	Eng	CS
A2921	BE_61	Block2	Stim32	CSES	Spanish	z	Spanish	CS	1825	Eng	CS
A2961	BE_61	Block3	Stim26	CSES	Spanish	z	Spanish	CS	628	Eng	CS
A3001	BE_61	Block4	Stim17	CSES	Spanish	z	Spanish	CS	1528	Eng	CS
A3002	BE_61	Block4	Stim02	CSES	Spanish	z	Spanish	CS	585	Eng	CS
A3003	BE_61	Block4	Stim28	CSES	Spanish	z	Spanish	CS	748	Eng	CS
A3004	BE_61	Block4	Stim03	CSES	Spanish	z	Spanish	CS	2219	Eng	CS
A3005	BE_61	Block4	Stim32	CSES	Spanish	z	Spanish	CS	550	Eng	CS
A3041	BE_62	Block1	Stim27	CSES	Spanish	z	Spanish	CS	563	Eng	CS
A3042	BE_62	Block1	Stim28	CSES	Spanish	z	Spanish	CS	2989	Eng	CS
A3043	BE_62	Block1	Stim03	CSES	Spanish	z	Spanish	CS	2538	Eng	CS
A3081	BE_62	Block2	Stim26	CSES	Spanish	z	Spanish	CS	1426	Eng	CS
A3082	BE_62	Block2	Stim29	CSES	Spanish	z	Spanish	CS	1094	Eng	CS
A3121	BE_62	Block3	Stim01	CSES	Spanish	z	Spanish	CS	2224	Eng	CS
A3122	BE_62	Block3	Stim29	CSES	Spanish	z	Spanish	CS	2303	Eng	CS
A3161	BE_62	Block4	Stim21	CSES	Spanish	z	Spanish	CS	270	Eng	CS
A3162	BE_62	Block4	Stim26	CSES	Spanish	z	Spanish	CS	1255	Eng	CS
A3163	BE_62	Block4	Stim27	CSES	Spanish	z	Spanish	CS	206	Eng	CS
A3164	BE_62	Block4	Stim28	CSES	Spanish	z	Spanish	CS	58	Eng	CS
A3521	BE_73	Block1	Stim17	CSES	Spanish	z	Spanish	CS	2216	Eng	CS
A3522	BE_73	Block1	Stim26	CSES	Spanish	z	Spanish	CS	6525	Eng	CS
A3523	BE_73	Block1	Stim28	CSES	Spanish	z	Spanish	CS	3667	Eng	CS
A3561	BE_73	Block2	Stim01	CSES	Spanish	z	Spanish	CS	3217	Eng	CS
A3562	BE_73	Block2	Stim02	CSES	Spanish	z	Spanish	CS	3893	Eng	CS
A3563	BE_73	Block2	Stim03	CSES	Spanish	z	Spanish	CS	1907	Eng	CS
A3601	BE_73	Block3	Stim21	CSES	Spanish	z	Spanish	CS	2059	Eng	CS
A3641	BE_73	Block4	Stim01	CSES	Spanish	z	Spanish	CS	2585	Eng	CS
A3642	BE_73	Block4	Stim21	CSES	Spanish	z	Spanish	CS	4059	Eng	CS
A3684	BE_78	Block1	Stim02	CSES	Spanish	z	Spanish	CS	2326	Eng	CS
A3685	BE_78	Block1	Stim21	CSES	Spanish	z	Spanish	CS	2612	Eng	CS
A3686	BE_78	Block1	Stim26	CSES	Spanish	z	Spanish	CS	1186	Eng	CS
A3687	BE_78	Block1	Stim27	CSES	Spanish	z	Spanish	CS	9401	Eng	CS
A3688	BE_78	Block1	Stim28	CSES	Spanish	z	Spanish	CS	547	Eng	CS
A3689	BE_78	Block1	Stim29	CSES	Spanish	z	Spanish	CS	1497	Eng	CS
A3690	BE_78	Block1	Stim32	CSES	Spanish	z	Spanish	CS	4596	Eng	CS
A3728	BE_78	Block2	Stim27	CSES	Spanish	z	Spanish	CS	1969	Eng	CS
A3729	BE_78	Block2	Stim28	CSES	Spanish	z	Spanish	CS	1706	Eng	CS
A3730	BE_78	Block2	Stim29	CSES	Spanish	z	Spanish	CS	1532	Eng	CS
A3766	BE_78	Block3	Stim17	CSES	Spanish	z	Spanish	CS	2756	Eng	CS
A3767	BE_78	Block3	Stim21	CSES	Spanish	z	Spanish	CS	958	Eng	CS
A3768	BE_78	Block3	Stim28	CSES	Spanish	z	Spanish	CS	1663	Eng	CS
A3769	BE_78	Block3	Stim03	CSES	Spanish	z	Spanish	CS	1627	Eng	CS
A3770	BE_78	Block3	Stim32	CSES	Spanish	z	Spanish	CS	3927	Eng	CS
A3808	BE_78	Block4	Stim27	CSES	Spanish	z	Spanish	CS	359	Eng	CS
A3809	BE_78	Block4	Stim28	CSES	Spanish	z	Spanish	CS	3088	Eng	CS
A3810	BE_78	Block4	Stim29	CSES	Spanish	z	Spanish	CS	1086	Eng	CS
A3846	BE_79	Block1	Stim01	CSES	Spanish	z	Spanish	CS	870	Eng	CS
A3847	BE_79	Block1	Stim26	CSES	Spanish	z	Spanish	CS	954	Eng	CS
A3848	BE_79	Block1	Stim27	CSES	Spanish	z	Spanish	CS	3606	Eng	CS
A3849	BE_79	Block1	Stim28	CSES	Spanish	z	Spanish	CS	765	Eng	CS
A3850	BE_79	Block1	Stim29	CSES	Spanish	z	Spanish	CS	1027	Eng	CS
A3888	BE_79	Block2	Stim01	CSES	Spanish	z	Spanish	CS	575	Eng	CS
A3889	BE_79	Block2	Stim29	CSES	Spanish	z	Spanish	CS	645	Eng	CS
A3890	BE_79	Block2	Stim32	CSES	Spanish	z	Spanish	CS	529	Eng	CS
A3929	BE_79	Block3	Stim26	CSES	Spanish	z	Spanish	CS	4288	Eng	CS
A3930	BE_79	Block3	Stim28	CSES	Spanish	z	Spanish	CS	380	Eng	CS
A3967	BE_79	Block4	Stim17	CSES	Spanish	z	Spanish	CS	1068	Eng	CS
A3968	BE_79	Block4	Stim26	CSES	Spanish	z	Spanish	CS	587	Eng	CS
A3969	BE_79	Block4	Stim28	CSES	Spanish	z	Spanish	CS	2167	Eng	CS
A3970	BE_79	Block4	Stim32	CSES	Spanish	z	Spanish	CS	367	Eng	CS
A487	BE_11	Block1	Stim17	CSES	English	z	Spanish	ML	1951	Eng	CS
A488	BE_11	Block1	Stim21	CSES	English	z	Spanish	ML	1227	Eng	CS
A489	BE_11	Block1	Stim29	CSES	English	z	Spanish	ML	1556	Eng	CS
A490	BE_11	Block1	Stim32	CSES	English	z	Spanish	ML	1441	Eng	CS
A522	BE_11	Block2	Stim01	CSES	English	z	Spanish	ML	1576	Eng	CS
A523	BE_11	Block2	Stim17	CSES	English	z	Spanish	ML	1526	Eng	CS
A524	BE_11	Block2	Stim02	CSES	English	z	Spanish	ML	3966	Eng	CS
A525	BE_11	Block2	Stim21	CSES	English	z	Spanish	ML	914	Eng	CS
A526	BE_11	Block2	Stim26	CSES	English	z	Spanish	ML	1479	Eng	CS
A527	BE_11	Block2	Stim27	CSES	English	z	Spanish	ML	1906	Eng	CS
A528	BE_11	Block2	Stim28	CSES	English	z	Spanish	ML	2058	Eng	CS
A529	BE_11	Block2	Stim29	CSES	English	z	Spanish	ML	4180	Eng	CS
A530	BE_11	Block2	Stim32	CSES	English	z	Spanish	ML	4416	Eng	CS
A565	BE_11	Block3	Stim02	CSES	English	z	Spanish	ML	1801	Eng	CS
A566	BE_11	Block3	Stim26	CSES	English	z	Spanish	ML	2287	Eng	CS
A567	BE_11	Block3	Stim27	CSES	English	z	Spanish	ML	1535	Eng	CS
A568	BE_11	Block3	Stim29	CSES	English	z	Spanish	ML	1535	Eng	CS
A569	BE_11	Block3	Stim03	CSES	English	z	Spanish	ML	1718	Eng	CS
A570	BE_11	Block3	Stim32	CSES	English	z	Spanish	ML	1737	Eng	CS
A602	BE_11	Block4	Stim01	CSES	English	z	Spanish	ML	1613	Eng	CS
A603	BE_11	Block4	Stim17	CSES	English	z	Spanish	ML	1057	Eng	CS
A604	BE_11	Block4	Stim02	CSES	English	z	Spanish	ML	2924	Eng	CS
A605	BE_11	Block4	Stim21	CSES	English	z	Spanish	ML	1249	Eng	CS
A606	BE_11	Block4	Stim27	CSES	English	z	Spanish	ML	3402	Eng	CS
A607	BE_11	Block4	Stim28	CSES	English	z	Spanish	ML	1328	Eng	CS
A608	BE_11	Block4	Stim29	CSES	English	z	Spanish	ML	1427	Eng	CS
A609	BE_11	Block4	Stim03	CSES	English	z	Spanish	ML	919	Eng	CS
A610	BE_11	Block4	Stim32	CSES	English	z	Spanish	ML	1355	Eng	CS
A647	BE_18	Block1	Stim17	CSES	English	z	Spanish	ML	1584	Eng	CS
A648	BE_18	Block1	Stim21	CSES	English	z	Spanish	ML	1984	Eng	CS
A649	BE_18	Block1	Stim26	CSES	English	z	Spanish	ML	2543	Eng	CS
A650	BE_18	Block1	Stim29	CSES	English	z	Spanish	ML	824	Eng	CS
A651	BE_18	Block1	Stim32	CSES	English	z	Spanish	ML	2353	Eng	CS
A687	BE_18	Block2	Stim17	CSES	English	z	Spanish	ML	1519	Eng	CS
A688	BE_18	Block2	Stim21	CSES	English	z	Spanish	ML	2349	Eng	CS
A689	BE_18	Block2	Stim27	CSES	English	z	Spanish	ML	1866	Eng	CS
A690	BE_18	Block2	Stim03	CSES	English	z	Spanish	ML	1549	Eng	CS
A691	BE_18	Block2	Stim32	CSES	English	z	Spanish	ML	1964	Eng	CS
A728	BE_18	Block3	Stim02	CSES	English	z	Spanish	ML	475	Eng	CS
A729	BE_18	Block3	Stim29	CSES	English	z	Spanish	ML	396	Eng	CS
A730	BE_18	Block3	Stim03	CSES	English	z	Spanish	ML	886	Eng	CS
A731	BE_18	Block3	Stim32	CSES	English	z	Spanish	ML	1184	Eng	CS
A765	BE_18	Block4	Stim01	CSES	English	z	Spanish	ML	336	Eng	CS
A766	BE_18	Block4	Stim17	CSES	English	z	Spanish	ML	959	Eng	CS
A767	BE_18	Block4	Stim02	CSES	English	z	Spanish	ML	461	Eng	CS
A768	BE_18	Block4	Stim21	CSES	English	z	Spanish	ML	256	Eng	CS
A769	BE_18	Block4	Stim27	CSES	English	z	Spanish	ML	581	Eng	CS
A770	BE_18	Block4	Stim03	CSES	English	z	Spanish	ML	380	Eng	CS
A1443	BE_36	Block1	Stim01	CSES	English	z	Spanish	ML	1716	Eng	CS
A1444	BE_36	Block1	Stim17	CSES	English	z	Spanish	ML	1160	Eng	CS
A1445	BE_36	Block1	Stim02	CSES	English	z	Spanish	ML	1891	Eng	CS
A1446	BE_36	Block1	Stim21	CSES	English	z	Spanish	ML	1500	Eng	CS
