Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A1930	BE_68	Block1	Stim29	CSES	0	ML	7258	Eng	CS
A1961	BE_68	Block2	Stim02	CSES	1	CS	1577	Eng	CS
A1962	BE_68	Block2	Stim21	CSES	1	CS	2027	Eng	CS
A1963	BE_68	Block2	Stim27	CSES	1	CS	569	Eng	CS
A1964	BE_68	Block2	Stim29	CSES	1	CS	1057	Eng	CS
A1965	BE_68	Block2	Stim03	CSES	1	CS	686	Eng	CS
A1966	BE_68	Block2	Stim32	CSES	1	CS	2189	Eng	CS
A1967	BE_68	Block2	Stim01	CSES	0	ML	1781	Eng	CS
A1968	BE_68	Block2	Stim17	CSES	0	ML	2269	Eng	CS
A1969	BE_68	Block2	Stim26	CSES	0	ML	2278	Eng	CS
A1970	BE_68	Block2	Stim28	CSES	0	ML	3666	Eng	CS
A2	BE_06	Block1	Stim26	CSES	1	CS	1458	Eng	CS
A2001	BE_68	Block3	Stim17	CSES	1	CS	7525	Eng	CS
A2002	BE_68	Block3	Stim02	CSES	1	CS	3220	Eng	CS
A2003	BE_68	Block3	Stim21	CSES	1	CS	1109	Eng	CS
A2004	BE_68	Block3	Stim26	CSES	1	CS	366	Eng	CS
A2005	BE_68	Block3	Stim27	CSES	1	CS	322	Eng	CS
A2006	BE_68	Block3	Stim28	CSES	1	CS	420	Eng	CS
A2007	BE_68	Block3	Stim29	CSES	1	CS	918	Eng	CS
A2008	BE_68	Block3	Stim03	CSES	1	CS	833	Eng	CS
A2009	BE_68	Block3	Stim32	CSES	1	CS	3296	Eng	CS
A201	BE_07	Block2	Stim17	CSES	1	CS	1740	Eng	CS
A2010	BE_68	Block3	Stim01	CSES	0	ML	758	Eng	CS
A202	BE_07	Block2	Stim02	CSES	1	CS	895	Eng	CS
A203	BE_07	Block2	Stim21	CSES	1	CS	2396	Eng	CS
A204	BE_07	Block2	Stim26	CSES	1	CS	1158	Eng	CS
A2041	BE_68	Block4	Stim27	CSES	1	CS	275	Eng	CS
A2042	BE_68	Block4	Stim28	CSES	1	CS	429	Eng	CS
A2043	BE_68	Block4	Stim29	CSES	1	CS	1108	Eng	CS
A2044	BE_68	Block4	Stim03	CSES	1	CS	320	Eng	CS
A2045	BE_68	Block4	Stim01	CSES	0	ML	2715	Eng	CS
