Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A3368	BE_31	Block1	Stim29	CSES	Spanish	m	Spanish	CS	581	Eng	CS
A3402	BE_31	Block2	Stim17	CSES	Spanish	m	Spanish	CS	394	Eng	CS
A3444	BE_31	Block3	Stim21	CSES	Spanish	m	Spanish	CS	2495	Eng	CS
A3447	BE_31	Block3	Stim28	CSES	Spanish	m	Spanish	CS	2557	Eng	CS
A3484	BE_31	Block4	Stim21	CSES	Spanish	m	Spanish	CS	185	Eng	CS
A3485	BE_31	Block4	Stim26	CSES	Spanish	m	Spanish	CS	3461	Eng	CS
A3487	BE_31	Block4	Stim28	CSES	Spanish	m	Spanish	CS	273	Eng	CS
A3488	BE_31	Block4	Stim29	CSES	Spanish	m	Spanish	CS	364	Eng	CS
A3644	BE_32	Block4	Stim21	CSES	Spanish	m	Spanish	CS	624	Eng	CS
A3687	BE_35	Block1	Stim28	CSES	Spanish	m	Spanish	CS	3163	Eng	CS
A3727	BE_35	Block2	Stim28	CSES	Spanish	m	Spanish	CS	1827	Eng	CS
A3728	BE_35	Block2	Stim29	CSES	Spanish	m	Spanish	CS	2902	Eng	CS
A3881	BE_37	Block2	Stim01	CSES	Spanish	m	Spanish	CS	1550	Eng	CS
A3963	BE_37	Block4	Stim02	CSES	Spanish	m	Spanish	CS	2741	Eng	CS
A4168	BE_41	Block1	Stim29	CSES	Spanish	m	Spanish	CS	4996	Eng	CS
A4327	BE_43	Block1	Stim28	CSES	Spanish	z	Spanish	CS	683	Eng	CS
A4405	BE_43	Block3	Stim26	CSES	Spanish	z	Spanish	CS	733	Eng	CS
A4482	BE_44	Block1	Stim17	CSES	Spanish	z	Spanish	CS	316	Eng	CS
A4483	BE_44	Block1	Stim02	CSES	Spanish	z	Spanish	CS	2047	Eng	CS
A4523	BE_44	Block2	Stim02	CSES	Spanish	z	Spanish	CS	2731	Eng	CS
A4527	BE_44	Block2	Stim28	CSES	Spanish	z	Spanish	CS	1639	Eng	CS
A4603	BE_44	Block4	Stim02	CSES	Spanish	z	Spanish	CS	909	Eng	CS
A4608	BE_44	Block4	Stim29	CSES	Spanish	z	Spanish	CS	1070	Eng	CS
A4643	BE_45	Block1	Stim02	CSES	Spanish	z	Spanish	CS	748	Eng	CS
A4801	BE_46	Block1	Stim01	CSES	Spanish	z	Spanish	CS	1426	Eng	CS
A4809	BE_46	Block1	Stim03	CSES	Spanish	z	Spanish	CS	1555	Eng	CS
A4849	BE_46	Block2	Stim03	CSES	Spanish	z	Spanish	CS	295	Eng	CS
A4889	BE_46	Block3	Stim03	CSES	Spanish	z	Spanish	CS	283	Eng	CS
A4929	BE_46	Block4	Stim03	CSES	Spanish	z	Spanish	CS	213	Eng	CS
A5126	BE_49	Block1	Stim27	CSES	Spanish	z	Spanish	CS	3110	Eng	CS
A5129	BE_49	Block1	Stim03	CSES	Spanish	z	Spanish	CS	2071	Eng	CS
A5166	BE_49	Block2	Stim27	CSES	Spanish	z	Spanish	CS	2600	Eng	CS
A5169	BE_49	Block2	Stim03	CSES	Spanish	z	Spanish	CS	1061	Eng	CS
A5206	BE_49	Block3	Stim27	CSES	Spanish	z	Spanish	CS	280	Eng	CS
A5207	BE_49	Block3	Stim28	CSES	Spanish	z	Spanish	CS	847	Eng	CS
A5209	BE_49	Block3	Stim03	CSES	Spanish	z	Spanish	CS	301	Eng	CS
