Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A481	BE_11	Block1	Stim01	CSES	1	CS	1734	Eng	CS
A482	BE_11	Block1	Stim02	CSES	1	CS	1712	Eng	CS
A483	BE_11	Block1	Stim26	CSES	1	CS	1927	Eng	CS
A484	BE_11	Block1	Stim27	CSES	1	CS	1338	Eng	CS
A485	BE_11	Block1	Stim28	CSES	1	CS	1958	Eng	CS
A486	BE_11	Block1	Stim03	CSES	1	CS	1002	Eng	CS
A521	BE_11	Block2	Stim03	CSES	1	CS	858	Eng	CS
A561	BE_11	Block3	Stim01	CSES	1	CS	1102	Eng	CS
A562	BE_11	Block3	Stim17	CSES	1	CS	3644	Eng	CS
A563	BE_11	Block3	Stim21	CSES	1	CS	792	Eng	CS
A564	BE_11	Block3	Stim28	CSES	1	CS	4692	Eng	CS
A601	BE_11	Block4	Stim26	CSES	1	CS	1178	Eng	CS
A642	BE_18	Block1	Stim01	CSES	1	CS	1185	Eng	CS
A643	BE_18	Block1	Stim02	CSES	1	CS	1064	Eng	CS
A644	BE_18	Block1	Stim27	CSES	1	CS	1838	Eng	CS
A645	BE_18	Block1	Stim28	CSES	1	CS	617	Eng	CS
A646	BE_18	Block1	Stim03	CSES	1	CS	775	Eng	CS
A682	BE_18	Block2	Stim01	CSES	1	CS	1521	Eng	CS
A683	BE_18	Block2	Stim02	CSES	1	CS	943	Eng	CS
A684	BE_18	Block2	Stim26	CSES	1	CS	680	Eng	CS
A685	BE_18	Block2	Stim28	CSES	1	CS	1008	Eng	CS
A686	BE_18	Block2	Stim29	CSES	1	CS	839	Eng	CS
A722	BE_18	Block3	Stim01	CSES	1	CS	911	Eng	CS
A723	BE_18	Block3	Stim17	CSES	1	CS	1391	Eng	CS
A724	BE_18	Block3	Stim21	CSES	1	CS	1119	Eng	CS
A725	BE_18	Block3	Stim26	CSES	1	CS	813	Eng	CS
A726	BE_18	Block3	Stim27	CSES	1	CS	990	Eng	CS
A727	BE_18	Block3	Stim28	CSES	1	CS	1283	Eng	CS
A761	BE_18	Block4	Stim26	CSES	1	CS	402	Eng	CS
A762	BE_18	Block4	Stim28	CSES	1	CS	652	Eng	CS
A763	BE_18	Block4	Stim29	CSES	1	CS	327	Eng	CS
A764	BE_18	Block4	Stim32	CSES	1	CS	511	Eng	CS
A1441	BE_36	Block1	Stim28	CSES	1	CS	1318	Eng	CS
A1442	BE_36	Block1	Stim29	CSES	1	CS	2585	Eng	CS
A1481	BE_36	Block2	Stim02	CSES	1	CS	1108	Eng	CS
A1482	BE_36	Block2	Stim26	CSES	1	CS	674	Eng	CS
A1483	BE_36	Block2	Stim27	CSES	1	CS	5687	Eng	CS
A1484	BE_36	Block2	Stim03	CSES	1	CS	1314	Eng	CS
A1521	BE_36	Block3	Stim17	CSES	1	CS	708	Eng	CS
A1522	BE_36	Block3	Stim02	CSES	1	CS	2034	Eng	CS
A1523	BE_36	Block3	Stim26	CSES	1	CS	1795	Eng	CS
A1524	BE_36	Block3	Stim28	CSES	1	CS	716	Eng	CS
A1525	BE_36	Block3	Stim29	CSES	1	CS	596	Eng	CS
A1526	BE_36	Block3	Stim03	CSES	1	CS	263	Eng	CS
A1561	BE_36	Block4	Stim02	CSES	1	CS	452	Eng	CS
A1562	BE_36	Block4	Stim21	CSES	1	CS	764	Eng	CS
A1563	BE_36	Block4	Stim26	CSES	1	CS	460	Eng	CS
A1564	BE_36	Block4	Stim28	CSES	1	CS	618	Eng	CS
A1565	BE_36	Block4	Stim29	CSES	1	CS	563	Eng	CS
A1566	BE_36	Block4	Stim03	CSES	1	CS	1539	Eng	CS
A1601	BE_39	Block1	Stim29	CSES	1	CS	8964	Eng	CS
A1641	BE_39	Block2	Stim01	CSES	1	CS	10544	Eng	CS
A1642	BE_39	Block2	Stim17	CSES	1	CS	4174	Eng	CS
A1643	BE_39	Block2	Stim27	CSES	1	CS	3024	Eng	CS
A1681	BE_39	Block3	Stim27	CSES	1	CS	3297	Eng	CS
A1682	BE_39	Block3	Stim28	CSES	1	CS	3657	Eng	CS
A1683	BE_39	Block3	Stim03	CSES	1	CS	3784	Eng	CS
A1684	BE_39	Block3	Stim32	CSES	1	CS	4599	Eng	CS
A1721	BE_39	Block4	Stim01	CSES	1	CS	5706	Eng	CS
A1722	BE_39	Block4	Stim17	CSES	1	CS	1238	Eng	CS
A1761	BE_40	Block1	Stim26	CSES	1	CS	2236	Eng	CS
A1762	BE_40	Block1	Stim27	CSES	1	CS	321	Eng	CS
A1801	BE_40	Block2	Stim26	CSES	1	CS	1321	Eng	CS
A1802	BE_40	Block2	Stim27	CSES	1	CS	288	Eng	CS
A1803	BE_40	Block2	Stim28	CSES	1	CS	873	Eng	CS
A1804	BE_40	Block2	Stim29	CSES	1	CS	804	Eng	CS
A1805	BE_40	Block2	Stim32	CSES	1	CS	748	Eng	CS
A1841	BE_40	Block3	Stim21	CSES	1	CS	2057	Eng	CS
A1842	BE_40	Block3	Stim27	CSES	1	CS	319	Eng	CS
A1843	BE_40	Block3	Stim28	CSES	1	CS	1431	Eng	CS
A1844	BE_40	Block3	Stim29	CSES	1	CS	3924	Eng	CS
A1845	BE_40	Block3	Stim03	CSES	1	CS	439	Eng	CS
A1846	BE_40	Block3	Stim32	CSES	1	CS	2178	Eng	CS
A1881	BE_40	Block4	Stim21	CSES	1	CS	1317	Eng	CS
A1882	BE_40	Block4	Stim26	CSES	1	CS	2489	Eng	CS
A1883	BE_40	Block4	Stim27	CSES	1	CS	349	Eng	CS
A1884	BE_40	Block4	Stim29	CSES	1	CS	1138	Eng	CS
A1885	BE_40	Block4	Stim03	CSES	1	CS	833	Eng	CS
A2081	BE_47	Block1	Stim28	CSES	1	CS	1457	Eng	CS
A2121	BE_47	Block2	Stim21	CSES	1	CS	948	Eng	CS
A2122	BE_47	Block2	Stim28	CSES	1	CS	4094	Eng	CS
A2123	BE_47	Block2	Stim29	CSES	1	CS	904	Eng	CS
A2161	BE_47	Block3	Stim17	CSES	1	CS	1318	Eng	CS
A2162	BE_47	Block3	Stim21	CSES	1	CS	774	Eng	CS
A2163	BE_47	Block3	Stim26	CSES	1	CS	467	Eng	CS
A2164	BE_47	Block3	Stim28	CSES	1	CS	3332	Eng	CS
A2165	BE_47	Block3	Stim29	CSES	1	CS	1367	Eng	CS
A2201	BE_47	Block4	Stim28	CSES	1	CS	1256	Eng	CS
A2202	BE_47	Block4	Stim29	CSES	1	CS	1673	Eng	CS
A2721	BE_59	Block1	Stim27	CSES	1	CS	1324	Eng	CS
A2722	BE_59	Block1	Stim28	CSES	1	CS	3229	Eng	CS
A2723	BE_59	Block1	Stim29	CSES	1	CS	1570	Eng	CS
A2724	BE_59	Block1	Stim03	CSES	1	CS	2999	Eng	CS
A2725	BE_59	Block1	Stim32	CSES	1	CS	1974	Eng	CS
A2761	BE_59	Block2	Stim27	CSES	1	CS	2827	Eng	CS
A2762	BE_59	Block2	Stim28	CSES	1	CS	1305	Eng	CS
A2801	BE_59	Block3	Stim28	CSES	1	CS	1558	Eng	CS
A2802	BE_59	Block3	Stim29	CSES	1	CS	1829	Eng	CS
A2841	BE_59	Block4	Stim26	CSES	1	CS	1478	Eng	CS
A2881	BE_61	Block1	Stim27	CSES	1	CS	2719	Eng	CS
A2882	BE_61	Block1	Stim32	CSES	1	CS	3201	Eng	CS
A2921	BE_61	Block2	Stim32	CSES	1	CS	1825	Eng	CS
A2961	BE_61	Block3	Stim26	CSES	1	CS	628	Eng	CS
A3001	BE_61	Block4	Stim17	CSES	1	CS	1528	Eng	CS
A3002	BE_61	Block4	Stim02	CSES	1	CS	585	Eng	CS
A3003	BE_61	Block4	Stim28	CSES	1	CS	748	Eng	CS
A3004	BE_61	Block4	Stim03	CSES	1	CS	2219	Eng	CS
A3005	BE_61	Block4	Stim32	CSES	1	CS	550	Eng	CS
A3041	BE_62	Block1	Stim27	CSES	1	CS	563	Eng	CS
A3042	BE_62	Block1	Stim28	CSES	1	CS	2989	Eng	CS
A3043	BE_62	Block1	Stim03	CSES	1	CS	2538	Eng	CS
A3081	BE_62	Block2	Stim26	CSES	1	CS	1426	Eng	CS
A3082	BE_62	Block2	Stim29	CSES	1	CS	1094	Eng	CS
A3121	BE_62	Block3	Stim01	CSES	1	CS	2224	Eng	CS
A3122	BE_62	Block3	Stim29	CSES	1	CS	2303	Eng	CS
A3161	BE_62	Block4	Stim21	CSES	1	CS	270	Eng	CS
A3162	BE_62	Block4	Stim26	CSES	1	CS	1255	Eng	CS
A3163	BE_62	Block4	Stim27	CSES	1	CS	206	Eng	CS
A3164	BE_62	Block4	Stim28	CSES	1	CS	58	Eng	CS
A3521	BE_73	Block1	Stim17	CSES	1	CS	2216	Eng	CS
A3522	BE_73	Block1	Stim26	CSES	1	CS	6525	Eng	CS
A3523	BE_73	Block1	Stim28	CSES	1	CS	3667	Eng	CS
A3561	BE_73	Block2	Stim01	CSES	1	CS	3217	Eng	CS
A3562	BE_73	Block2	Stim02	CSES	1	CS	3893	Eng	CS
