Subject	Context	Response	Number	Lg_Heard	Main_Context	Group
BE_42	CS-ES	CS	18	Eng	CS	supsw
BE_50	CS-ES	CS	16	Eng	CS	supsw
BE_51	CS-ES	CS	14	Eng	CS	supsw
BE_53	CS-ES	CS	15	Eng	CS	supsw
BE_63	CS-ES	CS	25	Eng	CS	supsw
BE_68	CS-ES	CS	24	Eng	CS	supsw
BE_06	CS-ES	ML	19	Eng	CS	supsw
BE_07	CS-ES	ML	8	Eng	CS	supsw
BE_09	CS-ES	ML	21	Eng	CS	supsw
BE_19	CS-ES	ML	25	Eng	CS	supsw
BE_20	CS-ES	ML	21	Eng	CS	supsw
BE_33	CS-ES	ML	29	Eng	CS	supsw
BE_34	CS-ES	ML	17	Eng	CS	supsw
BE_42	CS-ES	ML	22	Eng	CS	supsw
BE_50	CS-ES	ML	24	Eng	CS	supsw
BE_51	CS-ES	ML	26	Eng	CS	supsw
BE_53	CS-ES	ML	25	Eng	CS	supsw
BE_63	CS-ES	ML	15	Eng	CS	supsw
BE_68	CS-ES	ML	16	Eng	CS	supsw
BE_81	CS-ES	CS	24	Eng	CS	supsw
BE_81	CS-ES	ML	16	Eng	CS	supsw
BE_83	CS-ES	CS	15	Eng	CS	supsw
BE_83	CS-ES	ML	25	Eng	CS	supsw
BE_85	CS-ES	CS	21	Eng	CS	supsw
BE_85	CS-ES	ML	19	Eng	CS	supsw
BE_86	CS-ES	CS	20	Eng	CS	supsw
BE_86	CS-ES	ML	20	Eng	CS	supsw
BE_87	CS-ES	CS	15	Eng	CS	supsw
BE_87	CS-ES	ML	25	Eng	CS	supsw
BE_11	CS-ES	CS	12	Eng	CS	sw
BE_18	CS-ES	CS	20	Eng	CS	sw
BE_36	CS-ES	CS	18	Eng	CS	sw
BE_39	CS-ES	CS	10	Eng	CS	sw
BE_40	CS-ES	CS	18	Eng	CS	sw
BE_47	CS-ES	CS	11	Eng	CS	sw
BE_59	CS-ES	CS	10	Eng	CS	sw
BE_61	CS-ES	CS	9	Eng	CS	sw
BE_62	CS-ES	CS	11	Eng	CS	sw
BE_73	CS-ES	CS	9	Eng	CS	sw
BE_78	CS-ES	CS	18	Eng	CS	sw
BE_79	CS-ES	CS	14	Eng	CS	sw
BE_11	CS-ES	ML	28	Eng	CS	sw
BE_18	CS-ES	ML	20	Eng	CS	sw
BE_36	CS-ES	ML	22	Eng	CS	sw
BE_39	CS-ES	ML	30	Eng	CS	sw
BE_40	CS-ES	ML	22	Eng	CS	sw
BE_47	CS-ES	ML	29	Eng	CS	sw
BE_59	CS-ES	ML	30	Eng	CS	sw
BE_61	CS-ES	ML	31	Eng	CS	sw
BE_62	CS-ES	ML	29	Eng	CS	sw
BE_73	CS-ES	ML	31	Eng	CS	sw
BE_78	CS-ES	ML	22	Eng	CS	sw
BE_79	CS-ES	ML	26	Eng	CS	sw
BE_03	CS-SE	CS	4	Sp	CS	nonsw
BE_04	CS-SE	CS	2	Sp	CS	nonsw
BE_05	CS-SE	CS	3	Sp	CS	nonsw
BE_08	CS-SE	CS	5	Sp	CS	nonsw
BE_10	CS-SE	CS	6	Sp	CS	nonsw
BE_12	CS-SE	CS	10	Sp	CS	nonsw
BE_13	CS-SE	CS	7	Sp	CS	nonsw
BE_14	CS-SE	CS	12	Sp	CS	nonsw
BE_15	CS-SE	CS	4	Sp	CS	nonsw
BE_16	CS-SE	CS	5	Sp	CS	nonsw
BE_17	CS-SE	CS	7	Sp	CS	nonsw
BE_21	CS-SE	CS	2	Sp	CS	nonsw
BE_22	CS-SE	CS	0	Sp	CS	nonsw
BE_23	CS-SE	CS	1	Sp	CS	nonsw
BE_24	CS-SE	CS	1	Sp	CS	nonsw
BE_25	CS-SE	CS	4	Sp	CS	nonsw
BE_26	CS-SE	CS	10	Sp	CS	nonsw
BE_27	CS-SE	CS	4	Sp	CS	nonsw
BE_28	CS-SE	CS	16	Sp	CS	nonsw
BE_29	CS-SE	CS	8	Sp	CS	nonsw
BE_30	CS-SE	CS	3	Sp	CS	nonsw
BE_31	CS-SE	CS	2	Sp	CS	nonsw
BE_32	CS-SE	CS	1	Sp	CS	nonsw
BE_35	CS-SE	CS	10	Sp	CS	nonsw
BE_37	CS-SE	CS	2	Sp	CS	nonsw
BE_38	CS-SE	CS	4	Sp	CS	nonsw
BE_41	CS-SE	CS	4	Sp	CS	nonsw
BE_43	CS-SE	CS	2	Sp	CS	nonsw
BE_44	CS-SE	CS	14	Sp	CS	nonsw
BE_45	CS-SE	CS	9	Sp	CS	nonsw
BE_46	CS-SE	CS	9	Sp	CS	nonsw
BE_48	CS-SE	CS	7	Sp	CS	nonsw
BE_49	CS-SE	CS	12	Sp	CS	nonsw
BE_52	CS-SE	CS	13	Sp	CS	nonsw
BE_54	CS-SE	CS	2	Sp	CS	nonsw
BE_55	CS-SE	CS	7	Sp	CS	nonsw
BE_56	CS-SE	CS	4	Sp	CS	nonsw
BE_57	CS-SE	CS	3	Sp	CS	nonsw
BE_58	CS-SE	CS	10	Sp	CS	nonsw
BE_60	CS-SE	CS	4	Sp	CS	nonsw
BE_64	CS-SE	CS	4	Sp	CS	nonsw
BE_65	CS-SE	CS	16	Sp	CS	nonsw
BE_66	CS-SE	CS	2	Sp	CS	nonsw
BE_67	CS-SE	CS	1	Sp	CS	nonsw
BE_69	CS-SE	CS	2	Sp	CS	nonsw
BE_70	CS-SE	CS	3	Sp	CS	nonsw
BE_71	CS-SE	CS	2	Sp	CS	nonsw
BE_72	CS-SE	CS	3	Sp	CS	nonsw
BE_74	CS-SE	CS	3	Sp	CS	nonsw
BE_75	CS-SE	CS	7	Sp	CS	nonsw
BE_76	CS-SE	CS	3	Sp	CS	nonsw
BE_77	CS-SE	CS	1	Sp	CS	nonsw
BE_80	CS-SE	CS	1	Sp	CS	nonsw
BE_82	CS-SE	CS	11	Sp	CS	nonsw
BE_84	CS-SE	CS	12	Sp	CS	nonsw
BE_03	CS-SE	ML	36	Sp	CS	nonsw
BE_04	CS-SE	ML	38	Sp	CS	nonsw
BE_05	CS-SE	ML	37	Sp	CS	nonsw
BE_08	CS-SE	ML	35	Sp	CS	nonsw
BE_10	CS-SE	ML	34	Sp	CS	nonsw
BE_12	CS-SE	ML	30	Sp	CS	nonsw
BE_13	CS-SE	ML	33	Sp	CS	nonsw
BE_14	CS-SE	ML	28	Sp	CS	nonsw
BE_15	CS-SE	ML	36	Sp	CS	nonsw
BE_16	CS-SE	ML	35	Sp	CS	nonsw
BE_17	CS-SE	ML	33	Sp	CS	nonsw
BE_21	CS-SE	ML	38	Sp	CS	nonsw
BE_22	CS-SE	ML	40	Sp	CS	nonsw
BE_23	CS-SE	ML	39	Sp	CS	nonsw
BE_24	CS-SE	ML	39	Sp	CS	nonsw
BE_25	CS-SE	ML	36	Sp	CS	nonsw
BE_26	CS-SE	ML	30	Sp	CS	nonsw
BE_27	CS-SE	ML	36	Sp	CS	nonsw
BE_28	CS-SE	ML	24	Sp	CS	nonsw
BE_29	CS-SE	ML	32	Sp	CS	nonsw
BE_30	CS-SE	ML	37	Sp	CS	nonsw
BE_31	CS-SE	ML	38	Sp	CS	nonsw
BE_32	CS-SE	ML	39	Sp	CS	nonsw
BE_35	CS-SE	ML	30	Sp	CS	nonsw
BE_37	CS-SE	ML	38	Sp	CS	nonsw
BE_38	CS-SE	ML	36	Sp	CS	nonsw
BE_41	CS-SE	ML	36	Sp	CS	nonsw
BE_43	CS-SE	ML	38	Sp	CS	nonsw
BE_44	CS-SE	ML	26	Sp	CS	nonsw
BE_45	CS-SE	ML	31	Sp	CS	nonsw
BE_46	CS-SE	ML	31	Sp	CS	nonsw
BE_48	CS-SE	ML	33	Sp	CS	nonsw
BE_49	CS-SE	ML	28	Sp	CS	nonsw
BE_52	CS-SE	ML	27	Sp	CS	nonsw
BE_54	CS-SE	ML	38	Sp	CS	nonsw
BE_55	CS-SE	ML	33	Sp	CS	nonsw
BE_56	CS-SE	ML	36	Sp	CS	nonsw
BE_57	CS-SE	ML	37	Sp	CS	nonsw
BE_58	CS-SE	ML	30	Sp	CS	nonsw
BE_60	CS-SE	ML	36	Sp	CS	nonsw
BE_64	CS-SE	ML	36	Sp	CS	nonsw
BE_65	CS-SE	ML	24	Sp	CS	nonsw
BE_66	CS-SE	ML	38	Sp	CS	nonsw
BE_67	CS-SE	ML	39	Sp	CS	nonsw
BE_69	CS-SE	ML	38	Sp	CS	nonsw
BE_70	CS-SE	ML	37	Sp	CS	nonsw
BE_71	CS-SE	ML	38	Sp	CS	nonsw
BE_72	CS-SE	ML	37	Sp	CS	nonsw
BE_74	CS-SE	ML	37	Sp	CS	nonsw
BE_75	CS-SE	ML	33	Sp	CS	nonsw
BE_76	CS-SE	ML	37	Sp	CS	nonsw
BE_77	CS-SE	ML	39	Sp	CS	nonsw
BE_80	CS-SE	ML	39	Sp	CS	nonsw
BE_82	CS-SE	ML	29	Sp	CS	nonsw
BE_84	CS-SE	ML	28	Sp	CS	nonsw
BE_06	CS-SE	CS	24	Sp	CS	supsw
BE_07	CS-SE	CS	18	Sp	CS	supsw
BE_09	CS-SE	CS	13	Sp	CS	supsw
BE_19	CS-SE	CS	26	Sp	CS	supsw
BE_20	CS-SE	CS	12	Sp	CS	supsw
BE_33	CS-SE	CS	12	Sp	CS	supsw
BE_34	CS-SE	CS	25	Sp	CS	supsw
BE_42	CS-SE	CS	17	Sp	CS	supsw
BE_50	CS-SE	CS	24	Sp	CS	supsw
BE_51	CS-SE	CS	14	Sp	CS	supsw
BE_53	CS-SE	CS	17	Sp	CS	supsw
BE_63	CS-SE	CS	16	Sp	CS	supsw
BE_68	CS-SE	CS	21	Sp	CS	supsw
BE_06	CS-SE	ML	16	Sp	CS	supsw
BE_07	CS-SE	ML	22	Sp	CS	supsw
BE_09	CS-SE	ML	27	Sp	CS	supsw
BE_19	CS-SE	ML	14	Sp	CS	supsw
BE_20	CS-SE	ML	28	Sp	CS	supsw
BE_33	CS-SE	ML	28	Sp	CS	supsw
BE_34	CS-SE	ML	15	Sp	CS	supsw
BE_42	CS-SE	ML	23	Sp	CS	supsw
BE_50	CS-SE	ML	16	Sp	CS	supsw
BE_51	CS-SE	ML	26	Sp	CS	supsw
BE_53	CS-SE	ML	23	Sp	CS	supsw
BE_63	CS-SE	ML	24	Sp	CS	supsw
BE_68	CS-SE	ML	19	Sp	CS	supsw
BE_81	CS-SE	CS	18	Sp	CS	supsw
BE_81	CS-SE	ML	22	Sp	CS	supsw
BE_83	CS-SE	CS	15	Sp	CS	supsw
BE_83	CS-SE	ML	25	Sp	CS	supsw
BE_85	CS-SE	CS	14	Sp	CS	supsw
BE_85	CS-SE	ML	26	Sp	CS	supsw
BE_86	CS-SE	CS	25	Sp	CS	supsw
BE_86	CS-SE	ML	15	Sp	CS	supsw
BE_87	CS-SE	CS	20	Sp	CS	supsw
BE_87	CS-SE	ML	20	Sp	CS	supsw
BE_11	CS-SE	CS	12	Sp	CS	sw
BE_18	CS-SE	CS	7	Sp	CS	sw
BE_36	CS-SE	CS	10	Sp	CS	sw
BE_39	CS-SE	CS	16	Sp	CS	sw
BE_40	CS-SE	CS	12	Sp	CS	sw
BE_47	CS-SE	CS	10	Sp	CS	sw
BE_59	CS-SE	CS	11	Sp	CS	sw
BE_61	CS-SE	CS	9	Sp	CS	sw
BE_62	CS-SE	CS	11	Sp	CS	sw
BE_73	CS-SE	CS	10	Sp	CS	sw
BE_78	CS-SE	CS	21	Sp	CS	sw
BE_79	CS-SE	CS	9	Sp	CS	sw
BE_11	CS-SE	ML	28	Sp	CS	sw
BE_18	CS-SE	ML	33	Sp	CS	sw
BE_36	CS-SE	ML	30	Sp	CS	sw
BE_39	CS-SE	ML	24	Sp	CS	sw
BE_40	CS-SE	ML	28	Sp	CS	sw
BE_47	CS-SE	ML	30	Sp	CS	sw
BE_59	CS-SE	ML	29	Sp	CS	sw
BE_61	CS-SE	ML	31	Sp	CS	sw
BE_62	CS-SE	ML	29	Sp	CS	sw
BE_73	CS-SE	ML	30	Sp	CS	sw
BE_78	CS-SE	ML	19	Sp	CS	sw
BE_79	CS-SE	ML	31	Sp	CS	sw
BE_03	E	CS	7	Eng	ML	nonsw
BE_04	E	CS	1	Eng	ML	nonsw
BE_05	E	CS	1	Eng	ML	nonsw
BE_08	E	CS	3	Eng	ML	nonsw
BE_10	E	CS	0	Eng	ML	nonsw
BE_12	E	CS	0	Eng	ML	nonsw
BE_13	E	CS	3	Eng	ML	nonsw
BE_14	E	CS	1	Eng	ML	nonsw
BE_15	E	CS	3	Eng	ML	nonsw
BE_16	E	CS	7	Eng	ML	nonsw
BE_17	E	CS	4	Eng	ML	nonsw
BE_21	E	CS	0	Eng	ML	nonsw
BE_22	E	CS	0	Eng	ML	nonsw
BE_23	E	CS	0	Eng	ML	nonsw
BE_24	E	CS	0	Eng	ML	nonsw
BE_25	E	CS	3	Eng	ML	nonsw
BE_26	E	CS	2	Eng	ML	nonsw
BE_27	E	CS	1	Eng	ML	nonsw
BE_28	E	CS	2	Eng	ML	nonsw
BE_29	E	CS	8	Eng	ML	nonsw
BE_30	E	CS	3	Eng	ML	nonsw
BE_31	E	CS	1	Eng	ML	nonsw
BE_32	E	CS	0	Eng	ML	nonsw
BE_35	E	CS	3	Eng	ML	nonsw
BE_37	E	CS	2	Eng	ML	nonsw
BE_38	E	CS	0	Eng	ML	nonsw
BE_41	E	CS	1	Eng	ML	nonsw
BE_43	E	CS	4	Eng	ML	nonsw
BE_44	E	CS	3	Eng	ML	nonsw
BE_45	E	CS	5	Eng	ML	nonsw
BE_46	E	CS	1	Eng	ML	nonsw
BE_48	E	CS	4	Eng	ML	nonsw
BE_49	E	CS	3	Eng	ML	nonsw
BE_52	E	CS	7	Eng	ML	nonsw
BE_54	E	CS	2	Eng	ML	nonsw
BE_55	E	CS	6	Eng	ML	nonsw
BE_56	E	CS	4	Eng	ML	nonsw
BE_57	E	CS	2	Eng	ML	nonsw
BE_58	E	CS	1	Eng	ML	nonsw
BE_60	E	CS	4	Eng	ML	nonsw
BE_64	E	CS	1	Eng	ML	nonsw
BE_65	E	CS	0	Eng	ML	nonsw
BE_66	E	CS	7	Eng	ML	nonsw
BE_67	E	CS	1	Eng	ML	nonsw
BE_69	E	CS	0	Eng	ML	nonsw
BE_70	E	CS	8	Eng	ML	nonsw
BE_71	E	CS	1	Eng	ML	nonsw
BE_72	E	CS	4	Eng	ML	nonsw
BE_74	E	CS	3	Eng	ML	nonsw
BE_75	E	CS	10	Eng	ML	nonsw
BE_76	E	CS	1	Eng	ML	nonsw
BE_77	E	CS	1	Eng	ML	nonsw
BE_80	E	CS	4	Eng	ML	nonsw
BE_82	E	CS	5	Eng	ML	nonsw
BE_84	E	CS	9	Eng	ML	nonsw
BE_03	E	ML	33	Eng	ML	nonsw
BE_04	E	ML	39	Eng	ML	nonsw
BE_05	E	ML	39	Eng	ML	nonsw
BE_08	E	ML	37	Eng	ML	nonsw
BE_10	E	ML	40	Eng	ML	nonsw
BE_12	E	ML	40	Eng	ML	nonsw
BE_13	E	ML	37	Eng	ML	nonsw
BE_14	E	ML	39	Eng	ML	nonsw
BE_15	E	ML	37	Eng	ML	nonsw
BE_16	E	ML	33	Eng	ML	nonsw
BE_17	E	ML	36	Eng	ML	nonsw
BE_21	E	ML	40	Eng	ML	nonsw
BE_22	E	ML	40	Eng	ML	nonsw
BE_23	E	ML	40	Eng	ML	nonsw
BE_24	E	ML	40	Eng	ML	nonsw
BE_25	E	ML	37	Eng	ML	nonsw
BE_26	E	ML	38	Eng	ML	nonsw
BE_27	E	ML	39	Eng	ML	nonsw
BE_28	E	ML	38	Eng	ML	nonsw
BE_29	E	ML	32	Eng	ML	nonsw
BE_30	E	ML	37	Eng	ML	nonsw
BE_31	E	ML	39	Eng	ML	nonsw
BE_32	E	ML	40	Eng	ML	nonsw
BE_35	E	ML	37	Eng	ML	nonsw
BE_37	E	ML	38	Eng	ML	nonsw
BE_38	E	ML	40	Eng	ML	nonsw
BE_41	E	ML	39	Eng	ML	nonsw
BE_43	E	ML	36	Eng	ML	nonsw
BE_44	E	ML	37	Eng	ML	nonsw
BE_45	E	ML	35	Eng	ML	nonsw
BE_46	E	ML	39	Eng	ML	nonsw
BE_48	E	ML	36	Eng	ML	nonsw
BE_49	E	ML	37	Eng	ML	nonsw
BE_52	E	ML	33	Eng	ML	nonsw
BE_54	E	ML	38	Eng	ML	nonsw
BE_55	E	ML	34	Eng	ML	nonsw
BE_56	E	ML	36	Eng	ML	nonsw
BE_57	E	ML	38	Eng	ML	nonsw
BE_58	E	ML	39	Eng	ML	nonsw
BE_60	E	ML	36	Eng	ML	nonsw
BE_64	E	ML	39	Eng	ML	nonsw
BE_65	E	ML	40	Eng	ML	nonsw
BE_66	E	ML	33	Eng	ML	nonsw
BE_67	E	ML	39	Eng	ML	nonsw
BE_69	E	ML	40	Eng	ML	nonsw
BE_70	E	ML	32	Eng	ML	nonsw
BE_71	E	ML	39	Eng	ML	nonsw
BE_72	E	ML	36	Eng	ML	nonsw
BE_74	E	ML	37	Eng	ML	nonsw
BE_75	E	ML	30	Eng	ML	nonsw
BE_76	E	ML	39	Eng	ML	nonsw
BE_77	E	ML	39	Eng	ML	nonsw
BE_80	E	ML	36	Eng	ML	nonsw
BE_82	E	ML	35	Eng	ML	nonsw
BE_84	E	ML	31	Eng	ML	nonsw
BE_06	E	CS	19	Eng	ML	supsw
BE_07	E	CS	21	Eng	ML	supsw
BE_09	E	CS	16	Eng	ML	supsw
BE_19	E	CS	7	Eng	ML	supsw
BE_20	E	CS	17	Eng	ML	supsw
BE_33	E	CS	11	Eng	ML	supsw
BE_34	E	CS	18	Eng	ML	supsw
BE_42	E	CS	12	Eng	ML	supsw
