Subject	Context	Response	Number	Lg_Heard	Main_Context	Group
BE_35	S	CS	8	Sp	ML	nonsw
BE_37	S	CS	1	Sp	ML	nonsw
BE_38	S	CS	0	Sp	ML	nonsw
BE_41	S	CS	5	Sp	ML	nonsw
BE_43	S	CS	2	Sp	ML	nonsw
BE_44	S	CS	15	Sp	ML	nonsw
BE_45	S	CS	3	Sp	ML	nonsw
BE_46	S	CS	10	Sp	ML	nonsw
BE_48	S	CS	8	Sp	ML	nonsw
BE_49	S	CS	12	Sp	ML	nonsw
BE_52	S	CS	8	Sp	ML	nonsw
BE_54	S	CS	0	Sp	ML	nonsw
BE_55	S	CS	6	Sp	ML	nonsw
BE_56	S	CS	7	Sp	ML	nonsw
BE_57	S	CS	0	Sp	ML	nonsw
BE_58	S	CS	6	Sp	ML	nonsw
BE_60	S	CS	2	Sp	ML	nonsw
BE_64	S	CS	1	Sp	ML	nonsw
BE_65	S	CS	16	Sp	ML	nonsw
BE_66	S	CS	3	Sp	ML	nonsw
BE_67	S	CS	1	Sp	ML	nonsw
BE_69	S	CS	0	Sp	ML	nonsw
BE_70	S	CS	1	Sp	ML	nonsw
BE_71	S	CS	4	Sp	ML	nonsw
BE_72	S	CS	8	Sp	ML	nonsw
BE_74	S	CS	3	Sp	ML	nonsw
BE_75	S	CS	6	Sp	ML	nonsw
BE_76	S	CS	0	Sp	ML	nonsw
BE_77	S	CS	0	Sp	ML	nonsw
BE_80	S	CS	3	Sp	ML	nonsw
BE_82	S	CS	5	Sp	ML	nonsw
BE_84	S	CS	9	Sp	ML	nonsw
BE_03	S	ML	40	Sp	ML	nonsw
BE_04	S	ML	38	Sp	ML	nonsw
BE_05	S	ML	34	Sp	ML	nonsw
BE_08	S	ML	39	Sp	ML	nonsw
BE_10	S	ML	39	Sp	ML	nonsw
BE_12	S	ML	31	Sp	ML	nonsw
BE_13	S	ML	34	Sp	ML	nonsw
BE_14	S	ML	30	Sp	ML	nonsw
BE_15	S	ML	38	Sp	ML	nonsw
BE_16	S	ML	36	Sp	ML	nonsw
BE_17	S	ML	36	Sp	ML	nonsw
BE_21	S	ML	40	Sp	ML	nonsw
BE_22	S	ML	39	Sp	ML	nonsw
BE_23	S	ML	40	Sp	ML	nonsw
BE_24	S	ML	37	Sp	ML	nonsw
BE_25	S	ML	39	Sp	ML	nonsw
BE_26	S	ML	38	Sp	ML	nonsw
BE_27	S	ML	39	Sp	ML	nonsw
BE_28	S	ML	22	Sp	ML	nonsw
BE_29	S	ML	33	Sp	ML	nonsw
BE_30	S	ML	40	Sp	ML	nonsw
BE_31	S	ML	39	Sp	ML	nonsw
BE_32	S	ML	40	Sp	ML	nonsw
BE_35	S	ML	32	Sp	ML	nonsw
BE_37	S	ML	39	Sp	ML	nonsw
BE_38	S	ML	40	Sp	ML	nonsw
BE_41	S	ML	35	Sp	ML	nonsw
BE_43	S	ML	38	Sp	ML	nonsw
BE_44	S	ML	25	Sp	ML	nonsw
BE_45	S	ML	37	Sp	ML	nonsw
BE_46	S	ML	30	Sp	ML	nonsw
BE_48	S	ML	32	Sp	ML	nonsw
BE_49	S	ML	28	Sp	ML	nonsw
BE_52	S	ML	32	Sp	ML	nonsw
BE_54	S	ML	40	Sp	ML	nonsw
BE_55	S	ML	34	Sp	ML	nonsw
BE_56	S	ML	33	Sp	ML	nonsw
BE_57	S	ML	40	Sp	ML	nonsw
BE_58	S	ML	34	Sp	ML	nonsw
BE_60	S	ML	38	Sp	ML	nonsw
BE_64	S	ML	39	Sp	ML	nonsw
BE_65	S	ML	24	Sp	ML	nonsw
BE_66	S	ML	37	Sp	ML	nonsw
BE_67	S	ML	39	Sp	ML	nonsw
BE_69	S	ML	40	Sp	ML	nonsw
BE_70	S	ML	39	Sp	ML	nonsw
BE_71	S	ML	36	Sp	ML	nonsw
BE_72	S	ML	32	Sp	ML	nonsw
BE_74	S	ML	37	Sp	ML	nonsw
BE_75	S	ML	34	Sp	ML	nonsw
BE_76	S	ML	40	Sp	ML	nonsw
BE_77	S	ML	40	Sp	ML	nonsw
BE_80	S	ML	37	Sp	ML	nonsw
BE_82	S	ML	35	Sp	ML	nonsw
BE_84	S	ML	31	Sp	ML	nonsw
BE_06	S	CS	24	Sp	ML	supsw
BE_07	S	CS	22	Sp	ML	supsw
BE_09	S	CS	17	Sp	ML	supsw
BE_19	S	CS	28	Sp	ML	supsw
BE_20	S	CS	18	Sp	ML	supsw
BE_33	S	CS	21	Sp	ML	supsw
BE_34	S	CS	22	Sp	ML	supsw
BE_42	S	CS	18	Sp	ML	supsw
BE_50	S	CS	9	Sp	ML	supsw
BE_51	S	CS	19	Sp	ML	supsw
BE_53	S	CS	18	Sp	ML	supsw
BE_63	S	CS	18	Sp	ML	supsw
BE_68	S	CS	22	Sp	ML	supsw
BE_06	S	ML	16	Sp	ML	supsw
BE_07	S	ML	18	Sp	ML	supsw
BE_09	S	ML	23	Sp	ML	supsw
BE_19	S	ML	12	Sp	ML	supsw
BE_20	S	ML	22	Sp	ML	supsw
BE_33	S	ML	19	Sp	ML	supsw
BE_34	S	ML	18	Sp	ML	supsw
BE_42	S	ML	22	Sp	ML	supsw
BE_50	S	ML	31	Sp	ML	supsw
BE_51	S	ML	21	Sp	ML	supsw
BE_53	S	ML	22	Sp	ML	supsw
BE_63	S	ML	22	Sp	ML	supsw
BE_68	S	ML	18	Sp	ML	supsw
BE_81	S	CS	13	Sp	ML	supsw
BE_81	S	ML	27	Sp	ML	supsw
BE_83	S	CS	18	Sp	ML	supsw
BE_83	S	ML	22	Sp	ML	supsw
BE_85	S	CS	15	Sp	ML	supsw
BE_85	S	ML	25	Sp	ML	supsw
BE_86	S	CS	17	Sp	ML	supsw
BE_86	S	ML	23	Sp	ML	supsw
BE_87	S	CS	20	Sp	ML	supsw
BE_87	S	ML	20	Sp	ML	supsw
BE_11	S	CS	12	Sp	ML	sw
BE_18	S	CS	7	Sp	ML	sw
BE_36	S	CS	15	Sp	ML	sw
BE_39	S	CS	14	Sp	ML	sw
BE_40	S	CS	14	Sp	ML	sw
BE_47	S	CS	19	Sp	ML	sw
BE_59	S	CS	17	Sp	ML	sw
BE_61	S	CS	13	Sp	ML	sw
BE_62	S	CS	13	Sp	ML	sw
BE_73	S	CS	11	Sp	ML	sw
BE_78	S	CS	19	Sp	ML	sw
BE_79	S	CS	11	Sp	ML	sw
BE_11	S	ML	28	Sp	ML	sw
BE_18	S	ML	33	Sp	ML	sw
BE_36	S	ML	25	Sp	ML	sw
BE_39	S	ML	26	Sp	ML	sw
BE_40	S	ML	26	Sp	ML	sw
BE_47	S	ML	21	Sp	ML	sw
BE_59	S	ML	23	Sp	ML	sw
BE_61	S	ML	27	Sp	ML	sw
BE_62	S	ML	27	Sp	ML	sw
BE_73	S	ML	29	Sp	ML	sw
BE_78	S	ML	21	Sp	ML	sw
BE_79	S	ML	29	Sp	ML	sw
